date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,5.459999999996817,5.000000000000002,5.000000000000002,5.000000000000002,5.000000000000002,5.000000000000002,4.000000000000002,6.000000000000002,4.000000000000002,6.000000000000002,4.000000000000002,6.000000000000002,4.000000000000002,6.999999999904442,4.000000000000002,6.999999999904442,3.000000000000001,7.000000000000003,3.000000000000001,7.000000000000003,3.000000000000001,7.000000000000003,3.000000000000001,8.000000000000004,3.000000000000001,8.000000000000004,2.000000000031058,8.000000000095564,2.000000000000001,9.000000000000004,2.000000000000001,9.624999999940277,1.9000000000095587,10.000000000000004,1.0000000000955613,10.999999999904443,1.0000000000000004,11.000000000000004,1.0000000000000004,11.999999999954612,0.9999999999749156,13.000000000000004
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
