,year,mmwr_week,Reporting Area,Malaria cummulative for 2004,Malaria cummulative for 2003,Meningococcal Disease cummulative for 2004,Meningococcal Disease cummulative for 2003,Pertussis cummulative for 2004,Pertussis cummulative for 2003,"Rabies, Animal cummulative for 2004","Rabies, Animal cummulative for 2003",Rocky Mountain Spotted Fever cummulative for 2004,Rocky Mountain Spotted Fever cummulative for 2003
17,2004,1,UNITED STATES,8,8,30,20,34,90,28,37,4,2
18,2004,1,NEW ENGLAND,0,1,1,1,4,26,2,3,0,0
19,2004,1,Maine,0,0,0,0,0,0,0,0,0,0
20,2004,1,N.H.,0,0,0,0,0,0,0,0,0,0
21,2004,1,Vt.,0,0,0,0,0,8,0,2,0,0
22,2004,1,Mass.,0,1,1,1,4,17,2,1,0,0
23,2004,1,R.I.,0,0,0,0,0,0,0,0,0,0
24,2004,1,Conn.,0,0,0,0,0,1,0,0,0,0
25,2004,1,MID. ATLANTIC,1,2,2,5,8,6,8,13,0,0
26,2004,1,Upstate N.Y.,0,0,2,0,2,0,8,8,0,0
27,2004,1,N.Y. City,0,1,0,2,0,0,0,1,0,0
28,2004,1,N.J.,0,1,0,1,0,2,0,3,0,0
29,2004,1,Pa.,1,0,0,2,6,4,0,1,0,0
30,2004,1,E.N. CENTRAL,0,3,9,3,8,10,0,0,0,0
31,2004,1,Ohio,0,1,6,2,5,6,0,0,0,0
32,2004,1,Ind.,0,0,0,0,0,0,0,0,0,0
33,2004,1,Ill.,0,1,0,0,0,0,0,0,0,0
34,2004,1,Mich.,0,0,3,1,3,0,0,0,0,0
35,2004,1,Wis.,0,1,0,0,0,4,0,0,0,0
36,2004,1,W.N. CENTRAL,0,1,1,3,4,3,1,7,0,0
37,2004,1,Minn.,0,0,0,0,0,0,0,0,0,0
38,2004,1,Iowa,0,1,1,1,4,0,1,0,0,0
39,2004,1,Mo.,0,0,0,2,0,0,0,0,0,0
40,2004,1,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2004,1,S. Dak.,0,0,0,0,0,0,0,0,0,0
42,2004,1,Nebr.,0,0,0,0,0,0,0,1,0,0
43,2004,1,Kans.,0,0,0,0,0,3,0,6,0,0
44,2004,1,S. ATLANTIC,7,0,7,1,1,14,15,13,3,2
45,2004,1,Del.,0,0,0,0,0,0,0,0,0,0
46,2004,1,Md.,2,0,1,1,1,1,0,4,2,2
47,2004,1,D.C.,0,0,0,0,0,0,0,0,0,0
48,2004,1,Va.,0,0,0,0,0,0,0,0,0,0
49,2004,1,W. Va.,0,0,0,0,0,0,1,0,0,0
50,2004,1,N.C.,0,0,0,0,0,0,14,6,0,0
51,2004,1,S.C.,0,0,0,0,0,0,0,2,0,0
52,2004,1,Ga.,1,0,0,0,0,13,0,0,1,0
53,2004,1,Fla.,4,0,6,0,0,0,0,1,0,0
54,2004,1,E.S. CENTRAL,0,0,2,2,2,0,0,0,1,0
55,2004,1,Ky.,0,0,0,0,0,0,0,0,0,0
56,2004,1,Tenn.,0,0,2,0,2,0,0,0,1,0
57,2004,1,Ala.,0,0,0,2,0,0,0,0,0,0
58,2004,1,Miss.,0,0,0,0,0,0,0,0,0,0
59,2004,1,W.S. CENTRAL,0,1,0,4,0,0,0,0,0,0
60,2004,1,Ark.,0,0,0,0,0,0,0,0,0,0
61,2004,1,La.,0,0,0,2,0,0,0,0,0,0
62,2004,1,Okla.,0,0,0,0,0,0,0,0,0,0
63,2004,1,Tex.,0,1,0,2,0,0,0,0,0,0
64,2004,1,MOUNTAIN,0,0,0,0,0,7,2,1,0,0
65,2004,1,Mont.,0,0,0,0,0,0,0,1,0,0
66,2004,1,Idaho,0,0,0,0,0,0,0,0,0,0
67,2004,1,Wyo.,0,0,0,0,0,0,0,0,0,0
68,2004,1,Colo.,0,0,0,0,0,4,0,0,0,0
69,2004,1,N. Mex.,0,0,0,0,0,0,0,0,0,0
70,2004,1,Ariz.,0,0,0,0,0,2,2,0,0,0
71,2004,1,Utah,0,0,0,0,0,0,0,0,0,0
72,2004,1,Nev.,0,0,0,0,0,1,0,0,0,0
73,2004,1,PACIFIC,0,0,8,1,7,24,0,0,0,0
74,2004,1,Wash.,0,0,0,0,0,0,0,0,0,0
75,2004,1,Oreg.,0,0,0,1,7,2,0,0,0,0
76,2004,1,Calif.,0,0,8,0,0,22,0,0,0,0
77,2004,1,Alaska,0,0,0,0,0,0,0,0,0,0
78,2004,1,Hawaii,0,0,0,0,0,0,0,0,0,0
79,2004,1,Guam,0,0,0,0,0,0,0,0,0,0
80,2004,1,P.R.,0,0,0,0,0,0,0,0,N,N
81,2004,1,V.I.,0,0,0,0,0,0,0,0,0,0
82,2004,1,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
83,2004,1,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2004,2,UNITED STATES,18,20,69,40,70,188,86,100,6,5
18,2004,2,NEW ENGLAND,1,2,1,3,6,41,4,12,0,0
19,2004,2,Maine,0,1,0,0,0,0,0,0,0,0
20,2004,2,N.H.,0,0,0,0,0,0,0,0,0,0
21,2004,2,Vt.,0,0,0,0,0,11,0,2,0,0
22,2004,2,Mass.,1,1,1,2,6,29,4,5,0,0
23,2004,2,R.I.,0,0,0,0,0,0,0,0,0,0
24,2004,2,Conn.,0,0,0,1,0,1,0,5,0,0
25,2004,2,MID. ATLANTIC,1,4,8,7,25,14,13,24,1,0
26,2004,2,Upstate N.Y.,0,0,4,1,14,2,13,8,0,0
27,2004,2,N.Y. City,0,3,1,2,0,0,0,1,0,0
28,2004,2,N.J.,0,1,0,1,0,4,0,6,0,0
29,2004,2,Pa.,1,0,3,3,11,8,0,9,1,0
30,2004,2,E.N. CENTRAL,0,4,11,6,9,17,0,0,0,0
31,2004,2,Ohio,0,1,6,3,5,9,0,0,0,0
32,2004,2,Ind.,0,0,0,1,0,0,0,0,0,0
33,2004,2,Ill.,0,1,0,0,0,0,0,0,0,0
34,2004,2,Mich.,0,1,5,1,4,2,0,0,0,0
35,2004,2,Wis.,0,1,0,1,0,6,0,0,0,0
36,2004,2,W.N. CENTRAL,0,1,3,6,7,9,4,17,0,0
37,2004,2,Minn.,0,0,0,1,0,0,0,1,0,0
38,2004,2,Iowa,0,1,1,2,4,0,2,0,0,0
39,2004,2,Mo.,0,0,0,3,0,6,0,0,0,0
40,2004,2,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2004,2,S. Dak.,0,0,1,0,0,0,0,2,0,0
42,2004,2,Nebr.,0,0,0,0,0,0,0,2,0,0
43,2004,2,Kans.,0,0,1,0,3,3,2,12,0,0
44,2004,2,S. ATLANTIC,13,3,14,3,5,22,58,39,4,5
45,2004,2,Del.,0,0,0,0,0,0,0,0,0,0
46,2004,2,Md.,5,2,2,2,3,3,11,11,3,2
47,2004,2,D.C.,0,0,0,0,0,0,0,0,0,0
48,2004,2,Va.,0,0,0,0,2,0,0,8,0,0
49,2004,2,W. Va.,0,0,0,0,0,0,3,1,0,0
50,2004,2,N.C.,0,0,0,1,0,6,14,16,0,3
51,2004,2,S.C.,0,0,0,0,0,0,0,2,0,0
52,2004,2,Ga.,1,1,3,0,0,13,30,0,1,0
53,2004,2,Fla.,7,0,9,0,0,0,0,1,0,0
54,2004,2,E.S. CENTRAL,0,0,2,3,2,3,2,3,1,0
55,2004,2,Ky.,0,0,0,0,0,1,1,1,0,0
