,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2007-10-31,41.06333333333333,41.0,7.490416768563557,41.0,42.0,40.0,42.0,40.0,43.0,39.0,43.0,38.0,43.0,38.0,44.0,37.0,45.0,37.0,45.0,36.0,45.0,36.0,46.0,35.0,47.0,34.0,47.0,33.0,48.0,33.0,48.0,32.0,49.0,32.0,50.0,31.0,51.0,29.950000000000003,54.0,28.0,56.0,27.475,58.26249999999999,forecast,2007-10-31,0
1,2007-11-30,42.016666666666666,41.0,8.632387615372062,40.0,41.0,40.0,42.0,39.0,42.92499999999998,39.0,43.0,39.0,44.0,38.0,44.0,38.0,45.0,38.0,45.0,37.0,46.0,36.0,47.0,36.0,48.0,35.0,48.20000000000002,34.324999999999996,50.0,33.0,51.150000000000006,33.0,53.0,31.0,54.10000000000002,30.425,56.0,29.0,58.0,27.0,60.0,25.7375,63.26249999999999,forecast,2007-10-31,0
2,2007-12-31,42.96333333333333,42.0,8.717528696682365,41.025000000000006,43.0,41.0,43.45000000000002,41.0,44.0,40.0,45.0,40.0,46.0,39.0,46.0,38.0,47.0,38.0,47.0,37.22500000000001,48.0,37.0,49.0,36.0,50.0,36.0,51.0,35.0,51.0,34.0,53.0,33.0,54.0,32.0,54.10000000000002,31.0,56.0,29.0,57.0,27.475,60.52499999999998,26.7375,63.52499999999998,forecast,2007-10-31,0
3,2008-01-31,43.663333333333334,43.0,9.145972790423448,43.0,44.0,42.0,44.0,41.075,44.0,41.0,46.0,40.0,46.0,39.0,47.0,39.0,48.0,39.0,48.0,38.0,49.0,37.0,50.0,37.0,51.0,36.0,52.0,35.0,52.0,35.0,53.0,33.0,54.0,32.900000000000006,55.0,31.0,57.0,29.0,60.0,27.0,63.52499999999998,26.0,65.52499999999998,forecast,2007-10-31,0
4,2008-02-29,44.73,45.0,9.525029516540611,44.0,45.0,43.0,45.45000000000002,42.0,46.0,41.0,46.400000000000006,41.0,47.0,40.0,48.0,40.0,48.0,39.0,49.0,39.0,50.0,38.0,51.0,37.0,51.724999999999994,37.0,52.20000000000002,36.0,54.0,35.0,55.0,34.0,56.0,33.0,58.0,32.425,59.0,29.0,61.0,28.0,65.0,26.0,67.0,forecast,2007-10-31,0
5,2008-03-31,45.776666666666664,45.0,10.282308842830671,45.0,45.0,44.0,46.0,43.075,46.0,43.0,47.0,42.0,48.0,41.0,49.0,41.0,49.0,40.0,51.0,40.0,52.0,39.0,52.25,38.0,53.0,37.800000000000004,54.0,36.0,55.0,35.85,55.0,34.375,57.625,33.0,59.0,31.0,61.0,30.0,65.0,27.0,68.0,25.7375,73.0,forecast,2007-10-31,0
6,2008-04-30,45.71,45.0,10.882124583531702,45.0,46.0,44.0,47.0,43.0,47.0,42.0,48.0,41.0,49.0,40.0,49.0,39.175,50.82500000000002,39.0,51.0,38.0,51.775000000000006,38.0,53.0,37.0,54.0,37.0,55.0,35.0,56.0,33.0,57.0,33.0,58.0,32.0,60.0,31.0,61.0,30.0,65.0,27.0,69.52499999999998,26.0,72.0,forecast,2007-10-31,0
