,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2020-10-31,4.956666666666667,5.0,2.7531901026554784,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,3.0,7.0,2.8000000000000043,7.0,2.0,7.674999999999983,2.0,8.0,2.0,8.0,2.0,9.0,2.0,9.0,1.0,10.0,0.47500000000000053,11.0,0.0,12.262499999999989,forecast,2021-03-31,0
1,2020-11-30,4.87,5.0,2.6839857049198446,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.6499999999999915,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,3.0,7.0,2.0,7.0,2.0,8.0,2.0,8.0,2.0,8.100000000000023,1.0,9.0,1.0,10.0,1.0,11.0,0.0,12.0,forecast,2021-03-31,0
2,2020-12-31,4.97,5.0,3.030905468645669,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,2.0,7.0,2.0,7.0,2.0,7.674999999999983,2.0,8.0,2.0,8.0,2.0,9.0,1.0,9.0,1.0,10.0,1.0,12.524999999999977,0.0,15.262499999999989,forecast,2021-03-31,0
3,2021-01-31,4.963333333333333,4.5,3.0703004257842252,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,3.0,7.0,2.0,7.0,2.0,8.0,2.0,8.0,2.0,9.0,1.9000000000000021,9.0,1.0,10.0,1.0,11.050000000000011,0.0,12.0,0.0,13.0,forecast,2021-03-31,0
4,2021-02-28,5.253333333333333,5.0,3.0253923522698347,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,6.0,4.0,6.0,3.700000000000003,6.0,3.0,7.0,3.0,7.0,3.0,7.0,2.8000000000000043,8.0,2.0,8.0,2.0,8.0,2.0,9.0,2.0,9.0,2.0,10.0,1.0,11.0,1.0,12.0,0.0,14.0,forecast,2021-03-31,0
5,2021-03-31,5.0,4.0,3.1696723399233107,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.349999999999994,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,2.2750000000000057,7.0,2.0,7.200000000000017,2.0,8.0,2.0,8.150000000000006,2.0,9.0,2.0,10.0,1.0,10.0,1.0,11.0,0.47500000000000053,12.0,0.0,13.524999999999977,forecast,2021-03-31,0
6,2021-04-30,4.8133333333333335,4.0,2.8127437340195858,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,7.0,3.0,7.0,2.0,7.0,2.0,7.0,2.0,8.0,2.0,8.0,2.0,8.0,1.0,9.0,1.0,10.0,0.0,12.0,0.0,13.0,forecast,2021-03-31,0
