,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
87,2006,1,P.R.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
88,2006,1,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2006,2,UNITED STATES,2,19,46,14,49,2,12,27,13,31,62,417,590,168,933
23,2006,2,NEW ENGLAND,0,1,5,0,7,0,0,2,0,3,0,26,46,9,64
24,2006,2,Conn.,0,0,3,0,0,0,0,2,0,0,0,1,4,0,5
25,2006,2,Maine,0,0,1,0,0,0,0,1,0,0,0,0,5,0,2
26,2006,2,Mass.,0,0,3,0,5,0,0,2,0,2,0,18,36,9,51
27,2006,2,N.H.,0,0,2,0,0,0,0,2,0,0,0,1,15,0,0
28,2006,2,R.I.,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
29,2006,2,Vt.,0,0,1,0,2,0,0,1,0,1,0,1,24,0,6
30,2006,2,MID. ATLANTIC,0,3,8,3,6,0,2,7,3,6,11,24,47,23,70
31,2006,2,N.J.,0,0,4,0,2,0,0,4,0,2,0,4,9,0,13
32,2006,2,N.Y. (Upstate),0,1,3,0,1,0,0,2,0,1,4,11,29,4,10
33,2006,2,N.Y. City,0,0,2,1,2,0,0,2,1,2,0,2,6,0,5
34,2006,2,Pa.,0,1,3,2,1,0,1,3,2,1,7,7,28,19,42
35,2006,2,E.N. CENTRAL,1,2,9,2,4,1,1,6,2,3,16,63,144,30,226
36,2006,2,Ill.,0,0,4,0,0,0,0,4,0,0,0,14,30,0,32
37,2006,2,Ind.,0,0,3,0,1,0,0,2,0,1,0,6,23,0,0
38,2006,2,Mich.,0,0,3,0,2,0,0,3,0,1,1,4,26,1,15
39,2006,2,Ohio,1,1,5,2,1,1,1,4,2,1,15,20,59,29,109
40,2006,2,Wis.,0,0,2,0,0,0,0,2,0,0,0,21,54,0,70
41,2006,2,W.N. CENTRAL,0,1,5,0,5,0,0,3,0,3,6,61,205,17,130
