,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
22,2016,2,UNITED STATES,49,435,"2,243",148,337,4,22,56,19,42,5,7,15,7,15
23,2016,2,NEW ENGLAND,5,82,722,7,112,1,1,6,2,1,0,0,2,0,1
24,2016,2,Conn.,0,26,187,0,32,0,0,1,0,0,0,0,0,0,0
25,2016,2,Maine,2,15,78,3,12,0,0,3,1,0,0,0,2,0,0
26,2016,2,Mass.,0,30,390,0,57,0,1,3,0,1,0,0,2,0,1
27,2016,2,N.H.,0,6,65,0,5,1,0,2,1,0,0,0,1,0,0
28,2016,2,R.I.,2,10,69,2,0,0,0,2,0,0,0,0,2,0,0
29,2016,2,Vt.,1,7,55,2,6,0,0,0,0,0,0,0,1,0,0
30,2016,2,MID. ATLANTIC,39,231,"1,249",120,158,2,5,24,7,9,0,1,4,0,0
31,2016,2,N.J.,0,44,325,0,52,0,1,5,0,2,0,0,1,0,0
32,2016,2,N.Y. (Upstate),7,47,231,13,11,0,1,7,0,2,0,0,1,0,0
33,2016,2,N.Y. City,1,4,560,3,1,2,3,17,7,2,0,0,2,0,0
34,2016,2,Pa.,31,129,837,104,94,0,0,3,0,3,0,0,2,0,0
35,2016,2,E.N. CENTRAL,0,20,174,1,15,0,2,6,3,7,0,1,5,0,1
36,2016,2,Ill.,0,2,28,0,3,0,1,3,1,5,0,0,2,0,0
37,2016,2,Ind.,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0
38,2016,2,Mich.,0,2,11,1,0,0,0,2,1,0,0,0,1,0,0
39,2016,2,Ohio,0,2,18,0,2,0,0,3,1,1,0,0,4,0,0
40,2016,2,Wis.,0,14,129,0,9,0,0,1,0,1,0,0,2,0,1
41,2016,2,W.N. CENTRAL,0,4,30,1,0,0,0,3,0,2,0,0,3,0,0
42,2016,2,Iowa,0,2,28,1,0,0,0,2,0,0,0,0,1,0,0
43,2016,2,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
44,2016,2,Minn.,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
45,2016,2,Mo.,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0
46,2016,2,Nebr.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
47,2016,2,N. Dak.,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
48,2016,2,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2016,2,S. ATLANTIC,5,68,233,18,48,0,6,15,4,10,1,1,5,1,9
50,2016,2,Del.,3,7,30,11,3,0,0,1,0,0,0,0,0,0,0
51,2016,2,D.C.,0,1,8,0,4,0,0,1,0,0,0,0,1,0,0
52,2016,2,Fla.,1,3,15,2,1,0,1,3,3,2,1,0,3,1,3
53,2016,2,Ga.,0,0,0,0,0,0,1,8,1,3,0,0,2,0,2
54,2016,2,Md.,1,24,111,3,23,0,2,9,0,1,0,0,1,0,1
55,2016,2,N.C.,0,1,57,0,2,0,0,5,0,1,0,0,1,0,0
56,2016,2,S.C.,0,1,3,0,1,0,0,1,0,1,0,0,2,0,0
57,2016,2,Va.,0,23,95,1,6,0,1,5,0,2,0,0,2,0,3
58,2016,2,W. Va.,0,3,24,1,8,0,0,1,0,0,0,0,1,0,0
59,2016,2,E.S. CENTRAL,0,2,12,1,0,1,0,4,1,2,0,0,2,0,0
60,2016,2,Ala.,0,0,4,1,0,0,0,2,0,2,0,0,1,0,0
61,2016,2,Ky.,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0
62,2016,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63,2016,2,Tenn.,0,0,4,0,0,1,0,1,1,0,0,0,1,0,0
64,2016,2,W.S. CENTRAL,0,1,6,0,0,0,2,9,1,3,1,1,5,1,0
65,2016,2,Ark.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
66,2016,2,La.,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0
67,2016,2,Okla.,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
68,2016,2,Tex.,0,1,6,0,0,0,1,8,1,2,0,0,3,0,0
69,2016,2,MOUNTAIN,0,1,2,0,1,0,1,3,0,1,0,0,3,0,0
70,2016,2,Ariz.,0,0,2,0,1,0,0,2,0,1,0,0,1,0,0
71,2016,2,Colo.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
72,2016,2,Idaho,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
73,2016,2,Mont.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
74,2016,2,Nev.,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
75,2016,2,N. Mex.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,2016,2,Utah,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
77,2016,2,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2016,2,PACIFIC,0,2,11,0,3,0,2,7,1,7,3,1,7,5,4
79,2016,2,Alaska,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0
80,2016,2,Calif.,0,1,8,0,1,0,2,6,0,5,0,0,4,2,3
81,2016,2,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,2,0,0
82,2016,2,Oreg.,0,0,3,0,1,0,0,2,1,2,3,0,3,3,1
83,2016,2,Wash.,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0
84,2016,2,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2016,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2016,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2016,2,P.R.,N,0,0,N,N,0,0,5,0,0,0,0,0,0,0
88,2016,2,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2016,3,UNITED STATES,55,436,"2,251",252,509,5,21,56,30,62,1,7,15,10,23
23,2016,3,NEW ENGLAND,1,83,722,12,180,0,1,6,3,4,0,0,2,0,2
24,2016,3,Conn.,0,27,187,1,48,0,0,1,1,0,0,0,0,0,0
25,2016,3,Maine,0,15,79,3,20,0,0,3,1,0,0,0,2,0,0
26,2016,3,Mass.,0,29,390,0,86,0,1,3,0,4,0,0,2,0,2
27,2016,3,N.H.,0,6,65,0,13,0,0,2,1,0,0,0,1,0,0
28,2016,3,R.I.,0,10,69,2,2,0,0,2,0,0,0,0,2,0,0
29,2016,3,Vt.,1,7,56,6,11,0,0,0,0,0,0,0,1,0,0
30,2016,3,MID. ATLANTIC,45,234,"1,256",201,238,0,5,24,9,11,0,1,4,0,0
31,2016,3,N.J.,0,44,325,1,72,0,1,5,0,2,0,0,1,0,0
32,2016,3,N.Y. (Upstate),8,47,231,21,18,0,1,7,1,4,0,0,1,0,0
33,2016,3,N.Y. City,7,4,560,10,8,0,3,17,7,2,0,0,2,0,0
34,2016,3,Pa.,30,129,846,169,140,0,0,3,1,3,0,0,2,0,0
