,year,mmwr_week,Reporting Area,Malaria cummulative for 2003,Malaria cummulative for 2002,Meningococcal Disease cummulative for 2003,Meningococcal Disease cummulative for 2002,Pertussis cummulative for 2003,Pertussis cummulative for 2002,"Rabies, Animal cummulative for 2003","Rabies, Animal cummulative for 2002",Rocky Mountain Spotted Fever cummulative for 2003,Rocky Mountain Spotted Fever cummulative for 2002
40,2003,2,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2003,2,S. Dak.,0,0,0,1,0,0,0,7,0,0
42,2003,2,Nebr.,0,0,0,0,0,0,0,0,0,0
43,2003,2,Kans.,0,0,0,0,3,0,8,6,0,0
44,2003,2,S. ATLANTIC,7,3,12,8,24,3,30,27,5,6
45,2003,2,Del.,0,0,0,0,0,1,0,0,0,0
46,2003,2,Md.,2,1,2,0,4,2,2,10,2,1
47,2003,2,D.C.,0,1,0,0,0,0,0,0,0,0
48,2003,2,Va.,0,0,0,0,0,0,8,4,0,0
49,2003,2,W. Va.,0,0,0,0,0,0,1,3,0,0
50,2003,2,N.C.,0,1,1,1,6,0,16,10,3,5
51,2003,2,S.C.,0,0,0,0,0,0,2,0,0,0
52,2003,2,Ga.,1,0,1,3,13,0,0,0,0,0
53,2003,2,Fla.,4,0,8,4,1,0,1,0,0,0
54,2003,2,E.S. CENTRAL,0,1,3,0,2,8,1,108,0,0
55,2003,2,Ky.,0,0,0,0,0,0,0,0,0,0
56,2003,2,Tenn.,0,0,1,0,0,1,0,108,0,0
57,2003,2,Ala.,0,0,2,0,2,1,1,0,0,0
58,2003,2,Miss.,0,1,0,0,0,6,0,0,0,0
59,2003,2,W.S. CENTRAL,0,0,0,8,0,6,1,23,0,0
60,2003,2,Ark.,0,0,0,1,0,5,0,0,0,0
61,2003,2,La.,0,0,0,1,0,0,0,0,0,0
62,2003,2,Okla.,0,0,0,0,0,1,1,3,0,0
63,2003,2,Tex.,0,0,0,6,0,0,0,20,0,0
64,2003,2,MOUNTAIN,0,0,1,3,20,19,4,4,0,0
65,2003,2,Mont.,0,0,0,0,0,0,1,0,0,0
66,2003,2,Idaho,0,0,0,0,0,4,0,0,0,0
67,2003,2,Wyo.,0,0,0,0,0,0,0,0,0,0
68,2003,2,Colo.,0,0,0,1,10,10,0,0,0,0
69,2003,2,N. Mex.,0,0,0,0,0,4,0,0,0,0
70,2003,2,Ariz.,0,0,1,0,10,0,3,4,0,0
71,2003,2,Utah,0,0,0,0,0,0,0,0,0,0
72,2003,2,Nev.,0,0,0,2,0,1,0,0,0,0
73,2003,2,PACIFIC,0,10,0,9,0,9,0,6,0,0
74,2003,2,Wash.,0,0,0,0,0,0,0,0,0,0
75,2003,2,Oreg.,0,0,0,4,0,0,0,0,0,0
76,2003,2,Calif.,0,8,0,5,0,8,0,4,0,0
77,2003,2,Alaska,0,0,0,0,0,0,0,2,0,0
78,2003,2,Hawaii,0,2,0,0,0,1,0,0,0,0
79,2003,2,Guam,0,0,0,0,0,0,0,0,0,0
80,2003,2,P.R.,0,0,0,0,0,0,0,3,0,0
81,2003,2,V.I.,0,0,0,0,0,0,0,0,0,0
82,2003,2,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
83,2003,2,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2003,3,UNITED STATES,40,49,49,85,135,212,140,299,13,12
18,2003,3,NEW ENGLAND,1,4,3,6,32,62,21,18,0,0
19,2003,3,Maine,1,0,0,1,0,2,0,2,0,0
20,2003,3,N.H.,0,1,0,0,0,0,1,0,0,0
21,2003,3,Vt.,0,0,0,1,11,11,2,3,0,0
22,2003,3,Mass.,0,2,2,4,21,45,8,4,0,0
23,2003,3,R.I.,0,0,0,0,0,0,0,2,0,0
24,2003,3,Conn.,0,1,1,0,0,4,10,7,0,0
25,2003,3,MID. ATLANTIC,18,12,2,14,4,3,21,33,0,2
26,2003,3,Upstate N.Y.,0,0,0,5,4,1,14,22,0,0
27,2003,3,N.Y. City,18,5,1,3,0,2,5,0,0,0
28,2003,3,N.J.,0,6,0,1,0,0,0,6,0,0
29,2003,3,Pa.,0,1,1,5,0,0,2,5,0,2
30,2003,3,E.N. CENTRAL,3,6,9,16,19,40,0,1,1,1
31,2003,3,Ohio,2,2,6,10,17,18,0,0,1,1
32,2003,3,Ind.,0,0,2,0,0,0,0,1,0,0
33,2003,3,Ill.,0,2,0,2,0,8,0,0,0,0
34,2003,3,Mich.,1,2,1,1,2,3,0,0,0,0
35,2003,3,Wis.,0,0,0,3,0,11,0,0,0,0
36,2003,3,W.N. CENTRAL,4,4,4,3,10,26,20,22,0,0
37,2003,3,Minn.,2,0,1,0,0,0,0,0,0,0
38,2003,3,Iowa,2,1,2,0,0,13,1,2,0,0
39,2003,3,Mo.,0,2,1,2,6,10,0,0,0,0
40,2003,3,N. Dak.,0,0,0,0,0,0,1,0,0,0
41,2003,3,S. Dak.,0,0,0,1,0,0,0,12,0,0
42,2003,3,Nebr.,0,0,0,0,0,0,0,0,0,0
43,2003,3,Kans.,0,1,0,0,4,3,18,8,0,0
44,2003,3,S. ATLANTIC,10,7,16,11,27,5,71,57,12,9
45,2003,3,Del.,0,0,2,0,0,1,0,0,0,0
46,2003,3,Md.,4,4,2,1,6,2,2,18,3,3
47,2003,3,D.C.,0,1,0,0,0,0,0,0,0,0
48,2003,3,Va.,0,0,0,0,0,0,5,12,0,0
49,2003,3,W. Va.,0,0,0,0,0,0,3,3,0,0
50,2003,3,N.C.,0,2,2,1,6,0,23,21,9,6
51,2003,3,S.C.,0,0,0,0,0,2,2,3,0,0
52,2003,3,Ga.,1,0,1,3,13,0,35,0,0,0
53,2003,3,Fla.,5,0,9,6,2,0,1,0,0,0
54,2003,3,E.S. CENTRAL,1,1,3,1,4,9,1,108,0,0
55,2003,3,Ky.,0,0,0,0,1,1,0,0,0,0
56,2003,3,Tenn.,0,0,1,0,0,1,0,108,0,0
57,2003,3,Ala.,1,0,2,1,3,1,1,0,0,0
58,2003,3,Miss.,0,1,0,0,0,6,0,0,0,0
59,2003,3,W.S. CENTRAL,0,0,5,13,0,20,1,46,0,0
60,2003,3,Ark.,0,0,1,2,0,18,0,0,0,0
61,2003,3,La.,0,0,3,1,0,0,0,0,0,0
62,2003,3,Okla.,0,0,1,0,0,1,1,6,0,0
63,2003,3,Tex.,0,0,0,10,0,1,0,40,0,0
64,2003,3,MOUNTAIN,0,0,2,5,33,25,5,6,0,0
65,2003,3,Mont.,0,0,0,0,0,1,1,0,0,0
66,2003,3,Idaho,0,0,0,0,0,4,0,0,0,0
67,2003,3,Wyo.,0,0,0,0,0,0,0,1,0,0
68,2003,3,Colo.,0,0,0,2,19,13,0,0,0,0
