date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,5.876666666682336,6.0000000000133396,5.000000000016007,6.000000000016008,5.000000000016007,6.000000000016008,5.000000000016007,6.000000000016008,5.000000000016007,6.000000000018675,5.000000000016007,6.000000000018675,4.000000000016007,7.000000000016007,4.000000000016007,7.000000000016007,4.000000000016007,7.000000000016807,4.000000000013339,7.000000000018675,3.000000000016007,8.000000000016007,3.000000000016007,8.000000000018675,3.0000000000133396,8.000000000018675,3.0000000000133396,8.000000000018675,2.000000000016007,9.000000000018675,2.000000000013339,9.000000000018675,2.000000000013339,10.000000000018675,1.425000000012206,11.000000000018673,1.0000000000132059,12.050000000016018,1.0000000000106712,14.525000000013314,1.0000000000080036,16.26250000001066
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
