,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2008,Lyme disease cummulative for 2007,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2008,Malaria cummulative for 2007,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2008","Meningococcal diseases, invasive �, all serogroups cummulative for 2007"
22,2008,1,UNITED STATES,37,272,"1,282",37,93,5,23,39,5,14,0,18,42,0,21
23,2008,1,NEW ENGLAND,0,40,301,0,16,0,1,4,0,1,0,1,3,0,1
24,2008,1,Conn.,0,11,214,0,0,0,0,1,0,0,0,0,1,0,0
25,2008,1,Maine,0,4,61,0,0,0,0,2,0,0,0,0,1,0,0
26,2008,1,Mass.,0,2,31,0,10,0,0,3,0,1,0,0,2,0,1
27,2008,1,N.H.,0,8,88,0,5,0,0,4,0,0,0,0,1,0,0
28,2008,1,R.I.,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0
29,2008,1,Vt.,0,1,13,0,1,0,0,2,0,0,0,0,1,0,0
30,2008,1,MID. ATLANTIC,29,137,647,29,47,1,5,15,1,2,0,2,8,0,1
31,2008,1,N.J.,0,30,155,0,25,0,0,0,0,0,0,0,2,0,1
32,2008,1,N.Y. (Upstate),0,54,191,0,0,0,1,5,0,0,0,1,3,0,0
33,2008,1,N.Y. City,0,1,25,0,1,0,3,8,0,2,0,0,4,0,0
34,2008,1,Pa.,29,51,321,29,21,1,1,4,1,0,0,1,5,0,0
35,2008,1,E.N. CENTRAL,0,12,168,0,7,1,2,6,1,2,0,3,9,0,2
36,2008,1,Ill.,0,1,15,0,0,0,0,6,0,1,0,1,3,0,0
37,2008,1,Ind.,0,0,7,0,0,0,0,2,0,0,0,0,4,0,0
38,2008,1,Mich.,0,0,5,0,1,0,0,2,0,0,0,0,3,0,0
39,2008,1,Ohio,0,0,3,0,0,1,0,3,1,1,0,1,2,0,2
40,2008,1,Wis.,0,10,149,0,6,0,0,2,0,0,0,0,2,0,0
41,2008,1,W.N. CENTRAL,0,5,110,0,1,0,0,8,0,0,0,1,5,0,3
42,2008,1,Iowa,0,1,11,0,1,0,0,1,0,0,0,0,3,0,0
43,2008,1,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
44,2008,1,Minn.,0,1,107,0,0,0,0,8,0,0,0,0,3,0,0
45,2008,1,Mo.,0,0,4,0,0,0,0,1,0,0,0,0,3,0,3
46,2008,1,Nebr.,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
47,2008,1,N. Dak.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
48,2008,1,S. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
49,2008,1,S. ATLANTIC,5,65,182,5,21,2,4,14,2,3,0,3,11,0,3
50,2008,1,Del.,1,12,34,1,10,0,0,1,0,0,0,0,1,0,0
51,2008,1,D.C.,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0
52,2008,1,Fla.,2,1,11,2,0,1,1,7,1,2,0,1,7,0,1
53,2008,1,Ga.,0,0,3,0,0,1,0,3,1,1,0,0,3,0,2
54,2008,1,Md.,2,32,113,2,11,0,1,5,0,0,0,0,2,0,0
55,2008,1,N.C.,0,0,8,0,0,0,0,4,0,0,0,0,4,0,0
56,2008,1,S.C.,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
57,2008,1,Va.,0,13,62,0,0,0,1,6,0,0,0,0,2,0,0
58,2008,1,W. Va.,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0
59,2008,1,E.S. CENTRAL,0,1,5,0,0,0,1,3,0,1,0,1,4,0,4
60,2008,1,Ala.,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
61,2008,1,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0
62,2008,1,Miss.,0,0,1,0,0,0,0,1,0,1,0,0,4,0,4
63,2008,1,Tenn.,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0
64,2008,1,W.S. CENTRAL,0,1,6,0,0,0,1,7,0,1,0,2,7,0,0
65,2008,1,Ark.,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
66,2008,1,La.,0,0,1,0,0,0,0,2,0,1,0,0,4,0,0
67,2008,1,Okla.,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
68,2008,1,Tex.,0,1,6,0,0,0,1,6,0,0,0,1,4,0,0
69,2008,1,MOUNTAIN,1,0,3,1,0,1,1,6,1,1,0,1,4,0,0
70,2008,1,Ariz.,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0
71,2008,1,Colo.,1,0,1,1,0,1,0,2,1,1,0,0,2,0,0
72,2008,1,Idaho,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
73,2008,1,Mont.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
74,2008,1,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
75,2008,1,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
76,2008,1,Utah,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0
77,2008,1,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2008,1,PACIFIC,2,2,10,2,1,0,3,9,0,3,0,4,12,0,7
79,2008,1,Alaska,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80,2008,1,Calif.,2,2,10,2,1,0,2,7,0,0,0,3,10,0,7
81,2008,1,Hawaii,N,0,0,N,N,0,0,0,0,0,0,0,1,0,0
82,2008,1,Oreg.,0,0,1,0,0,0,0,3,0,3,0,0,3,0,0
83,2008,1,Wash.,0,0,7,0,0,0,0,2,0,0,0,0,5,0,0
84,2008,1,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2008,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2008,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2008,1,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2008,1,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2008,2,UNITED STATES,114,290,"1,295",141,254,9,23,39,14,25,0,18,41,0,49
23,2008,2,NEW ENGLAND,0,41,301,0,26,0,1,4,0,2,0,1,3,0,3
24,2008,2,Conn.,0,11,214,0,1,0,0,1,0,0,0,0,1,0,0
25,2008,2,Maine,0,4,61,0,0,0,0,2,0,1,0,0,1,0,0
26,2008,2,Mass.,0,2,31,0,13,0,0,3,0,1,0,0,2,0,3
27,2008,2,N.H.,0,8,88,0,10,0,0,4,0,0,0,0,1,0,0
28,2008,2,R.I.,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0
29,2008,2,Vt.,0,1,13,0,2,0,0,2,0,0,0,0,1,0,0
30,2008,2,MID. ATLANTIC,84,149,660,94,127,3,5,16,4,5,0,2,8,0,5
31,2008,2,N.J.,0,34,175,0,59,0,0,0,0,0,0,0,2,0,3
32,2008,2,N.Y. (Upstate),1,54,192,1,3,0,1,5,0,1,0,1,3,0,0
33,2008,2,N.Y. City,0,2,25,0,4,1,4,9,2,4,0,0,4,0,1
34,2008,2,Pa.,83,51,321,93,61,2,1,4,2,0,0,1,5,0,1
35,2008,2,E.N. CENTRAL,0,12,168,1,10,1,2,7,2,6,0,3,9,0,6
36,2008,2,Ill.,0,1,15,0,0,0,0,6,0,5,0,1,3,0,2
37,2008,2,Ind.,0,0,7,0,0,0,0,2,0,0,0,0,4,0,0
38,2008,2,Mich.,0,0,5,1,1,0,0,2,0,0,0,0,3,0,0
39,2008,2,Ohio,0,0,3,0,0,1,0,3,2,1,0,0,2,0,2
40,2008,2,Wis.,0,10,149,0,9,0,0,2,0,0,0,0,2,0,2
41,2008,2,W.N. CENTRAL,0,5,110,0,2,0,0,8,0,0,0,1,5,0,5
42,2008,2,Iowa,0,1,11,0,2,0,0,1,0,0,0,0,3,0,1
43,2008,2,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
44,2008,2,Minn.,0,1,107,0,0,0,0,8,0,0,0,0,3,0,0
