date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,18.033333332050876,17.999999998565485,16.999999998852388,17.999999998565485,16.999999998852388,17.999999998852385,16.999999998852388,18.999999998565485,16.999999998565485,18.999999998565485,15.999999998852388,18.999999998852388,15.999999998565485,19.999999998565485,15.999999998565485,19.999999998565485,14.999999998852388,19.999999998852385,14.999999998852388,20.99999999856548,13.99999999913929,20.99999999856548,13.999999998931287,20.999999998852385,13.999999998852388,21.999999998565485,13.999999998852388,21.999999998565485,12.999999998852388,22.999999998565485,12.999999998852388,23.999999998278582,11.999999999139291,24.099999998536813,10.999999999139291,25.999999998156646,10.99999999885239,26.999999998006025,10.999999998701767,27.99999999827858,9.737499998640802,27.999999998852385
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
