,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
38,2005,2,Iowa,0,0,0,0,0,0,0,0,0,0
39,2005,2,Mo.,4,1,0,0,0,0,0,0,2,0
40,2005,2,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,2,S. Dak.,0,1,0,0,0,0,0,0,0,1
42,2005,2,Nebr.,0,1,0,0,0,0,0,0,0,1
43,2005,2,Kans.,1,2,0,0,0,0,0,0,0,0
44,2005,2,S. ATLANTIC,6,14,1,0,0,0,0,0,2,2
45,2005,2,Del.,0,0,0,0,0,0,0,0,0,0
46,2005,2,Md.,1,2,0,0,0,0,0,0,1,2
47,2005,2,D.C.,0,0,0,0,0,0,0,0,0,0
48,2005,2,Va.,0,0,0,0,0,0,0,0,0,0
49,2005,2,W. Va.,0,0,0,0,0,0,0,0,0,0
50,2005,2,N.C.,1,0,1,0,0,0,0,0,0,0
51,2005,2,S.C.,1,0,0,0,0,0,0,0,1,0
52,2005,2,Ga.,1,3,0,0,0,0,0,0,0,0
53,2005,2,Fla.,2,9,0,0,0,0,0,0,0,0
54,2005,2,E.S. CENTRAL,0,4,0,0,0,0,0,0,0,1
55,2005,2,Ky.,0,0,0,0,0,0,0,0,0,0
56,2005,2,Tenn.,0,3,0,0,0,0,0,0,0,0
57,2005,2,Ala.,0,1,0,0,0,0,0,0,0,1
58,2005,2,Miss.,0,0,0,0,0,0,0,0,0,0
59,2005,2,W.S. CENTRAL,0,13,0,1,0,0,0,0,0,6
60,2005,2,Ark.,0,0,0,0,0,0,0,0,0,0
61,2005,2,La.,0,8,0,1,0,0,0,0,0,6
62,2005,2,Okla.,0,0,0,0,0,0,0,0,0,0
63,2005,2,Tex.,0,5,0,0,0,0,0,0,0,0
64,2005,2,MOUNTAIN,2,3,0,0,0,0,0,0,1,1
65,2005,2,Mont.,0,0,0,0,0,0,0,0,0,0
66,2005,2,Idaho,0,1,0,0,0,0,0,0,0,0
67,2005,2,Wyo.,0,1,0,0,0,0,0,0,0,1
68,2005,2,Colo.,1,1,0,0,0,0,0,0,0,0
69,2005,2,N. Mex.,0,0,0,0,0,0,0,0,0,0
