,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2021 �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2021 �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �",column labels (in same order that data fields appears in each record below):
28,2021,2,Illinois,0,1,0,1,0,1,0,0,
29,2021,2,Indiana,0,1,0,0,0,1,0,0,
30,2021,2,Michigan,0,0,0,0,0,1,0,0,
31,2021,2,Ohio,0,1,0,1,0,1,0,0,
32,2021,2,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,2,West North Central,0,0,0,0,0,2,0,3,
34,2021,2,Iowa,0,0,0,0,0,1,0,0,
35,2021,2,Kansas,0,0,0,0,0,1,0,0,
36,2021,2,Minnesota,0,0,0,0,0,1,0,0,
37,2021,2,Missouri,0,0,0,0,0,2,0,3,
38,2021,2,Nebraska,0,0,0,0,0,0,0,0,
39,2021,2,North Dakota,0,0,0,0,0,0,0,0,
40,2021,2,South Dakota,0,0,0,0,0,0,0,0,
41,2021,2,South Atlantic,0,1,0,0,0,6,0,1,
42,2021,2,Delaware,0,0,0,0,0,1,0,0,
43,2021,2,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,2,Florida,0,0,0,0,0,4,0,1,
45,2021,2,Georgia,0,1,0,0,0,1,0,0,
46,2021,2,Maryland,0,0,0,0,0,2,0,0,
47,2021,2,North Carolina,0,0,0,0,0,1,0,0,
48,2021,2,South Carolina,0,0,0,0,0,0,0,0,
49,2021,2,Virginia,0,0,0,0,0,1,0,0,
50,2021,2,West Virginia,0,0,0,0,0,0,0,0,
51,2021,2,East South Central,0,1,0,0,0,1,0,0,
52,2021,2,Alabama,0,1,0,0,0,1,0,0,
53,2021,2,Kentucky,0,0,0,0,0,1,0,0,
54,2021,2,Mississippi,0,0,0,0,0,0,0,0,
55,2021,2,Tennessee,0,0,0,0,0,0,0,0,
56,2021,2,West South Central,0,1,0,1,0,2,0,1,
57,2021,2,Arkansas,0,0,0,0,0,2,0,0,
58,2021,2,Louisiana,0,0,0,0,0,1,0,0,
59,2021,2,Oklahoma,0,1,0,1,0,0,0,0,
60,2021,2,Texas,0,1,0,0,0,2,0,1,
61,2021,2,Mountain,0,1,0,0,0,2,0,0,
62,2021,2,Arizona,0,0,0,0,0,0,0,0,
63,2021,2,Colorado,0,0,0,0,0,2,0,0,
64,2021,2,Idaho,0,0,0,0,0,0,0,0,
65,2021,2,Montana,0,0,0,0,0,0,0,0,
66,2021,2,Nevada,0,1,0,0,0,0,0,0,
67,2021,2,New Mexico,0,0,0,0,0,0,0,0,
68,2021,2,Utah,0,0,0,0,0,0,0,0,
69,2021,2,Wyoming,0,0,0,0,0,0,0,0,
70,2021,2,Pacific,0,0,0,0,0,4,0,5,
71,2021,2,Alaska,0,0,0,0,0,0,0,0,
72,2021,2,California,0,0,0,0,0,3,0,3,
73,2021,2,Hawaii,0,0,0,0,0,0,0,0,
74,2021,2,Oregon,0,0,0,0,0,0,0,0,
75,2021,2,Washington,0,0,0,0,0,2,0,2,
76,2021,2,U.S. Territories,0,0,0,0,0,0,0,0,
77,2021,2,American Samoa,0,0,0,0,0,0,0,0,
78,2021,2,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2021,2,Guam,0,0,0,0,0,0,0,0,
80,2021,2,Puerto Rico,0,0,0,0,0,0,0,0,
81,2021,2,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2021,2,Non-U.S. Residents,0,0,0,0,0,0,0,0,
