,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2012","Meningococcal diseases, invasive �, All groups cummulative for 2011",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2012,Mumps cummulative for 2011,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2012,Pertussis cummulative for 2011
22,2012,1,UNITED STATES,3,12,30,3,20,0,7,19,0,7,66,308,489,66,340
23,2012,1,NEW ENGLAND,0,0,3,0,1,0,0,2,0,0,1,14,32,1,6
24,2012,1,Conn.,0,0,1,0,1,0,0,0,0,0,0,1,5,0,0
25,2012,1,Maine,0,0,1,0,0,0,0,2,0,0,1,3,19,1,1
26,2012,1,Mass.,0,0,2,0,0,0,0,1,0,0,0,4,10,0,3
27,2012,1,N.H.,0,0,1,0,0,0,0,0,0,0,0,2,13,0,1
28,2012,1,R.I.,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1
29,2012,1,Vt.,0,0,3,0,0,0,0,1,0,0,0,0,16,0,0
30,2012,1,MID. ATLANTIC,0,1,5,0,5,0,1,6,0,1,21,31,84,21,16
31,2012,1,N.J.,0,0,0,0,0,0,0,2,0,1,0,4,10,0,2
32,2012,1,N.Y. (Upstate),0,0,4,0,0,0,0,3,0,0,1,12,63,1,3
33,2012,1,N.Y. City,0,0,3,0,3,0,0,6,0,0,0,1,41,0,0
34,2012,1,Pa.,0,0,2,0,2,0,0,1,0,0,20,12,40,20,11
35,2012,1,E.N. CENTRAL,1,2,6,1,2,0,2,12,0,2,18,66,197,18,113
36,2012,1,Ill.,0,0,3,0,0,0,1,10,0,0,0,18,120,0,24
37,2012,1,Ind.,0,0,2,0,0,0,0,2,0,0,0,4,21,0,11
38,2012,1,Mich.,0,0,1,0,0,0,0,2,0,0,3,10,38,3,34
39,2012,1,Ohio,1,0,2,1,2,0,0,2,0,2,14,13,37,14,37
40,2012,1,Wis.,0,0,2,0,0,0,0,1,0,0,1,12,44,1,7
