,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2010","Meningococcal diseases, invasive �, All groups cummulative for 2009",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2010,Pertussis cummulative for 2009,"Rabies, animal current week","Rabies, animal previous 52 weeks median ","Rabies, animal previous 52 weeks maximum ","Rabies, animal cummulative for 2010","Rabies, animal cummulative for 2009"
22,2010,2,UNITED STATES,5,17,33,15,30,36,269,436,97,459,7,65,140,24,166
23,2010,2,NEW ENGLAND,0,0,4,0,0,0,11,24,0,35,0,6,24,5,9
24,2010,2,Conn.,0,0,2,0,0,0,1,4,0,2,0,2,22,0,3
25,2010,2,Maine,0,0,1,0,0,0,1,10,0,5,0,1,4,1,1
26,2010,2,Mass.,0,0,3,0,0,0,7,14,0,25,0,0,0,0,0
27,2010,2,N.H.,0,0,1,0,0,0,1,7,0,3,0,0,3,1,1
28,2010,2,R.I.,0,0,1,0,0,0,0,7,0,0,0,1,7,0,2
29,2010,2,Vt.,0,0,1,0,0,0,0,1,0,0,0,1,5,3,2
30,2010,2,MID. ATLANTIC,2,2,6,5,2,5,21,38,11,38,6,10,23,11,10
31,2010,2,N.J.,0,0,2,0,0,0,3,11,0,8,0,0,0,0,0
32,2010,2,N.Y. (Upstate),1,0,4,1,0,2,4,20,2,4,6,7,22,11,8
33,2010,2,N.Y. City,1,0,2,2,2,0,0,11,0,0,0,0,3,0,0
34,2010,2,Pa.,0,1,4,2,0,3,11,29,9,26,0,0,16,0,2
35,2010,2,E.N. CENTRAL,0,3,10,2,7,17,53,100,45,141,0,2,19,1,2
36,2010,2,Ill.,0,0,4,0,1,0,11,29,0,50,0,1,9,0,1
37,2010,2,Ind.,0,0,3,0,1,0,6,15,0,21,0,0,6,0,1
38,2010,2,Mich.,0,0,5,1,0,2,14,40,11,19,0,1,6,0,0
39,2010,2,Ohio,0,1,3,1,3,15,18,49,34,44,0,0,5,1,0
40,2010,2,Wis.,0,0,3,0,2,0,3,12,0,7,N,0,0,N,N
41,2010,2,W.N. CENTRAL,1,2,6,1,3,5,31,145,10,110,0,7,18,0,4
42,2010,2,Iowa,0,0,2,0,0,0,3,10,0,7,0,0,3,0,0
43,2010,2,Kans.,0,0,2,0,1,0,4,12,0,5,0,1,6,0,3
44,2010,2,Minn.,0,0,2,0,0,0,0,101,0,0,0,0,11,0,0
45,2010,2,Mo.,1,0,3,1,2,4,18,47,6,90,0,1,5,0,0
46,2010,2,Nebr.,0,0,1,0,0,1,2,11,4,5,0,1,6,0,1
47,2010,2,N. Dak.,0,0,1,0,0,0,0,12,0,0,0,0,7,0,0
48,2010,2,S. Dak.,0,0,1,0,0,0,0,6,0,3,0,0,4,0,0
49,2010,2,S. ATLANTIC,2,2,10,6,7,6,28,71,15,49,1,26,111,5,121
50,2010,2,Del.,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0
51,2010,2,D.C.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2010,2,Fla.,1,1,4,4,3,4,8,29,10,20,1,0,95,4,95
53,2010,2,Ga.,0,0,2,1,1,0,3,11,1,10,0,0,72,0,0
54,2010,2,Md.,0,0,1,0,0,1,2,8,1,3,0,7,15,0,12
55,2010,2,N.C.,0,0,10,0,2,0,0,65,0,3,N,2,4,N,N
56,2010,2,S.C.,0,0,1,0,0,1,4,18,2,9,0,0,0,0,0
57,2010,2,Va.,0,0,2,0,1,0,3,13,0,3,0,10,26,0,13
58,2010,2,W. Va.,0,0,2,0,0,0,0,5,1,0,0,2,6,1,1
59,2010,2,E.S. CENTRAL,0,0,4,1,0,3,14,30,8,34,0,1,6,0,6
60,2010,2,Ala.,0,0,1,0,0,1,4,19,1,3,0,0,0,0,0
61,2010,2,Ky.,0,0,1,1,0,0,3,15,2,21,0,1,4,0,4
62,2010,2,Miss.,0,0,1,0,0,0,1,5,0,4,0,0,1,0,0
63,2010,2,Tenn.,0,0,2,0,0,2,3,9,5,6,0,0,4,0,2
64,2010,2,W.S. CENTRAL,0,1,8,0,3,0,62,139,3,9,0,0,13,0,2
65,2010,2,Ark.,0,0,2,0,1,0,5,23,0,2,0,0,10,0,1
66,2010,2,La.,0,0,3,0,2,0,1,8,0,5,0,0,0,0,0
67,2010,2,Okla.,0,0,2,0,0,0,0,32,0,0,0,0,13,0,1
68,2010,2,Tex.,0,1,5,0,0,0,52,126,3,2,0,0,1,0,0
69,2010,2,MOUNTAIN,0,1,4,0,2,0,17,32,4,37,0,1,6,0,5
70,2010,2,Ariz.,0,0,2,0,0,0,4,11,0,4,N,0,0,N,N
71,2010,2,Colo.,0,0,3,0,0,0,4,12,1,11,0,0,0,0,0
72,2010,2,Idaho,0,0,1,0,1,0,1,19,3,2,0,0,0,0,0
73,2010,2,Mont.,0,0,2,0,0,0,1,6,0,0,0,0,4,0,0
74,2010,2,Nev.,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0
75,2010,2,N. Mex.,0,0,1,0,0,0,1,6,0,4,0,0,2,0,1
76,2010,2,Utah,0,0,1,0,0,0,3,16,0,16,0,0,2,0,0
77,2010,2,Wyo.,0,0,2,0,0,0,0,5,0,0,0,0,4,0,4
78,2010,2,PACIFIC,0,3,10,0,6,0,20,43,1,6,0,4,12,2,7
79,2010,2,Alaska,0,0,2,0,1,0,1,4,1,3,0,0,3,2,3
80,2010,2,Calif.,0,2,6,0,3,0,10,22,0,1,0,4,12,0,4
81,2010,2,Hawaii,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0
82,2010,2,Oreg.,0,0,6,0,1,0,3,14,0,2,0,0,3,0,0
83,2010,2,Wash.,0,0,7,0,0,0,5,26,0,0,0,0,0,0,0
84,2010,2,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
85,2010,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2010,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2010,2,P.R.,0,0,0,0,0,0,0,1,0,0,2,1,3,2,0
88,2010,2,V.I.,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
22,2010,3,UNITED STATES,1,17,33,22,42,71,269,490,199,702,11,65,140,43,246
23,2010,3,NEW ENGLAND,0,0,4,0,1,0,11,24,1,47,2,6,24,8,12
24,2010,3,Conn.,0,0,2,0,0,0,1,4,0,2,2,1,22,2,4
25,2010,3,Maine,0,0,1,0,0,0,1,10,0,9,0,1,4,1,1
26,2010,3,Mass.,0,0,3,0,1,0,7,14,0,29,0,0,0,0,0
27,2010,3,N.H.,0,0,1,0,0,0,1,7,1,5,0,0,3,1,2
28,2010,3,R.I.,0,0,1,0,0,0,0,7,0,1,0,1,7,0,3
29,2010,3,Vt.,0,0,1,0,0,0,0,1,0,1,0,1,5,4,2
30,2010,3,MID. ATLANTIC,0,2,6,5,3,9,21,38,20,56,5,10,23,16,30
31,2010,3,N.J.,0,0,2,0,0,0,3,11,0,15,0,0,0,0,0
32,2010,3,N.Y. (Upstate),0,0,3,1,0,1,4,22,3,7,5,7,22,16,12
33,2010,3,N.Y. City,0,0,2,2,2,0,0,11,0,0,0,0,3,0,0
34,2010,3,Pa.,0,1,4,2,1,8,11,29,17,34,0,0,16,0,18
35,2010,3,E.N. CENTRAL,0,3,10,4,11,37,52,100,85,209,0,2,19,1,2
36,2010,3,Ill.,0,1,4,1,2,0,11,29,0,69,0,1,9,0,1
37,2010,3,Ind.,0,0,3,1,1,0,6,15,0,30,0,0,6,0,1
38,2010,3,Mich.,0,0,5,1,0,2,14,40,16,39,0,1,6,0,0
39,2010,3,Ohio,0,1,3,1,5,35,18,49,69,61,0,0,5,1,0
40,2010,3,Wis.,0,0,3,0,3,0,3,12,0,10,N,0,0,N,N
41,2010,3,W.N. CENTRAL,0,2,6,1,5,5,31,224,19,165,1,7,18,5,7
42,2010,3,Iowa,0,0,2,0,1,0,3,10,0,13,0,0,3,0,0
43,2010,3,Kans.,0,0,2,0,1,0,4,12,1,9,0,1,6,4,4
44,2010,3,Minn.,0,0,2,0,1,0,0,221,0,0,0,0,11,0,0
45,2010,3,Mo.,0,0,3,1,2,3,17,47,12,123,1,1,5,1,0
46,2010,3,Nebr.,0,0,1,0,0,2,2,11,6,16,0,1,6,0,1
47,2010,3,N. Dak.,0,0,1,0,0,0,0,12,0,0,0,0,7,0,1
48,2010,3,S. Dak.,0,0,1,0,0,0,0,6,0,4,0,0,4,0,1
49,2010,3,S. ATLANTIC,1,2,10,7,7,5,29,71,21,83,3,25,102,8,167
50,2010,3,Del.,0,0,1,1,0,0,0,2,0,3,0,0,0,0,0
51,2010,3,D.C.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
52,2010,3,Fla.,1,1,4,5,3,3,7,29,13,27,1,0,38,5,133
53,2010,3,Ga.,0,0,2,1,1,0,3,11,2,13,0,0,72,0,0
54,2010,3,Md.,0,0,1,0,0,2,2,8,3,4,0,7,15,0,16
55,2010,3,N.C.,0,0,10,0,2,0,0,65,0,19,N,0,4,N,N
56,2010,3,S.C.,0,0,1,0,0,0,4,18,2,10,0,0,0,0,0
57,2010,3,Va.,0,0,2,0,1,0,3,13,0,6,0,10,26,0,16
58,2010,3,W. Va.,0,0,2,0,0,0,0,5,1,0,2,2,6,3,2
59,2010,3,E.S. CENTRAL,0,0,4,1,1,2,13,30,18,52,0,1,6,0,12
60,2010,3,Ala.,0,0,1,0,0,0,4,19,1,5,0,0,0,0,0
61,2010,3,Ky.,0,0,1,1,0,1,3,15,10,33,0,1,2,0,6
62,2010,3,Miss.,0,0,1,0,0,0,1,5,0,5,0,0,1,0,0
63,2010,3,Tenn.,0,0,2,0,1,1,3,9,7,9,0,0,4,0,6
64,2010,3,W.S. CENTRAL,0,1,8,0,4,0,63,152,3,22,0,0,13,0,2
65,2010,3,Ark.,0,0,2,0,1,0,5,23,0,3,0,0,10,0,1
66,2010,3,La.,0,0,3,0,2,0,1,8,0,7,0,0,0,0,0
67,2010,3,Okla.,0,0,2,0,0,0,0,32,0,1,0,0,13,0,1
68,2010,3,Tex.,0,1,5,0,1,0,53,150,3,11,0,0,1,0,0
69,2010,3,MOUNTAIN,0,1,4,0,2,12,17,32,30,54,0,1,6,0,7
70,2010,3,Ariz.,0,0,2,0,0,0,5,11,13,8,N,0,0,N,N
71,2010,3,Colo.,0,0,3,0,0,7,4,12,9,15,0,0,0,0,0
72,2010,3,Idaho,0,0,1,0,1,5,1,19,8,4,0,0,0,0,0
73,2010,3,Mont.,0,0,2,0,0,0,1,6,0,0,0,0,4,0,0
74,2010,3,Nev.,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0
75,2010,3,N. Mex.,0,0,1,0,0,0,1,6,0,4,0,0,2,0,1
76,2010,3,Utah,0,0,1,0,0,0,3,16,0,23,0,0,2,0,0
77,2010,3,Wyo.,0,0,2,0,0,0,0,5,0,0,0,0,4,0,6
78,2010,3,PACIFIC,0,3,10,4,8,1,21,43,2,14,0,4,12,5,7
79,2010,3,Alaska,0,0,2,0,1,0,1,4,1,6,0,0,3,3,3
80,2010,3,Calif.,0,2,6,3,3,0,10,22,0,4,0,4,12,2,4
81,2010,3,Hawaii,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0
82,2010,3,Oreg.,0,0,6,1,2,1,3,14,1,4,0,0,3,0,0
83,2010,3,Wash.,0,0,7,0,1,0,5,26,0,0,0,0,0,0,0
84,2010,3,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
85,2010,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2010,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2010,3,P.R.,0,0,0,0,0,0,0,1,0,0,2,1,3,4,0
88,2010,3,V.I.,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
22,2010,4,UNITED STATES,10,17,33,38,62,87,269,748,359,964,21,64,140,73,362
23,2010,4,NEW ENGLAND,0,0,4,0,1,0,11,24,1,64,3,6,24,13,16
24,2010,4,Conn.,0,0,2,0,0,0,1,4,0,4,0,2,22,2,7
25,2010,4,Maine,0,0,1,0,0,0,1,10,0,15,2,1,4,5,2
26,2010,4,Mass.,0,0,3,0,1,0,7,16,0,36,0,0,0,0,0
27,2010,4,N.H.,0,0,1,0,0,0,1,7,1,6,1,0,3,2,2
28,2010,4,R.I.,0,0,1,0,0,0,0,7,0,1,0,1,7,0,3
29,2010,4,Vt.,0,0,1,0,0,0,0,1,0,2,0,1,5,4,2
30,2010,4,MID. ATLANTIC,1,2,6,7,4,6,21,38,27,75,7,10,23,23,46
31,2010,4,N.J.,0,0,2,0,0,0,2,11,0,20,0,0,0,0,0
32,2010,4,N.Y. (Upstate),1,0,3,2,0,3,4,23,6,11,7,7,22,23,19
33,2010,4,N.Y. City,0,0,2,2,2,0,1,11,0,0,0,0,3,0,0
34,2010,4,Pa.,0,1,4,3,2,3,11,29,21,44,0,0,16,0,27
35,2010,4,E.N. CENTRAL,1,3,10,5,15,31,52,100,126,283,1,2,19,3,4
36,2010,4,Ill.,0,1,4,1,3,0,11,29,0,78,0,1,9,0,1
37,2010,4,Ind.,0,0,3,1,1,0,6,15,0,41,0,0,6,0,1
38,2010,4,Mich.,0,0,5,1,1,4,14,40,29,60,0,1,6,1,2
39,2010,4,Ohio,1,1,3,2,6,27,19,49,96,89,1,0,5,2,0
40,2010,4,Wis.,0,0,3,0,4,0,3,12,1,15,N,0,0,N,N
41,2010,4,W.N. CENTRAL,0,2,6,2,7,9,31,335,36,202,2,7,18,8,8
42,2010,4,Iowa,0,0,2,0,1,0,3,10,0,19,0,0,3,0,0
43,2010,4,Kans.,0,0,2,0,1,0,4,12,3,13,0,1,6,5,5
44,2010,4,Minn.,0,0,2,0,2,0,0,332,0,0,0,0,11,0,0
45,2010,4,Mo.,0,0,3,2,3,9,17,47,26,145,0,1,5,1,0
46,2010,4,Nebr.,0,0,1,0,0,0,2,9,7,21,2,1,6,2,1
47,2010,4,N. Dak.,0,0,1,0,0,0,0,12,0,0,0,0,7,0,1
48,2010,4,S. Dak.,0,0,1,0,0,0,0,6,0,4,0,0,4,0,1
49,2010,4,S. ATLANTIC,2,3,10,11,11,18,28,71,44,120,7,24,102,15,251
50,2010,4,Del.,0,0,1,1,0,0,0,2,0,4,0,0,0,0,0
51,2010,4,D.C.,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
52,2010,4,Fla.,1,1,4,6,5,6,7,29,18,35,4,0,20,9,153
53,2010,4,Ga.,0,0,2,1,1,1,3,11,5,16,0,0,72,0,47
54,2010,4,Md.,0,0,2,0,0,1,2,8,6,5,0,7,15,0,22
55,2010,4,N.C.,0,0,10,0,3,0,0,65,0,35,N,0,4,N,N
56,2010,4,S.C.,1,0,1,1,1,10,4,18,14,10,0,0,0,0,0
57,2010,4,Va.,0,0,2,2,1,0,3,13,0,13,0,10,26,0,25
58,2010,4,W. Va.,0,0,2,0,0,0,0,5,1,0,3,2,6,6,4
59,2010,4,E.S. CENTRAL,1,0,4,2,1,1,14,30,37,69,0,1,6,0,15
60,2010,4,Ala.,0,0,1,0,0,1,4,19,7,9,0,0,0,0,0
61,2010,4,Ky.,1,0,1,2,0,0,3,15,19,40,0,1,2,0,7
62,2010,4,Miss.,0,0,1,0,0,0,1,5,0,9,0,0,1,0,0
63,2010,4,Tenn.,0,0,2,0,1,0,3,9,11,11,0,0,4,0,8
64,2010,4,W.S. CENTRAL,1,1,8,1,5,12,63,292,28,40,0,0,13,0,3
65,2010,4,Ark.,0,0,2,0,2,0,5,23,0,6,0,0,10,0,2
66,2010,4,La.,0,0,3,0,2,0,1,8,0,9,0,0,0,0,0
67,2010,4,Okla.,0,0,2,0,0,0,0,32,0,3,0,0,13,0,1
68,2010,4,Tex.,1,1,6,1,1,12,55,290,28,22,0,0,1,0,0
69,2010,4,MOUNTAIN,0,1,4,1,3,7,17,33,50,86,0,1,6,2,9
70,2010,4,Ariz.,0,0,2,1,0,0,5,11,16,13,N,0,0,N,N
71,2010,4,Colo.,0,0,3,0,1,1,4,12,10,27,0,0,0,0,0
72,2010,4,Idaho,0,0,1,0,1,6,1,19,22,5,0,0,0,0,0
73,2010,4,Mont.,0,0,2,0,0,0,1,6,1,0,0,0,4,0,1
74,2010,4,Nev.,0,0,1,0,1,0,0,3,0,2,0,0,1,0,0
75,2010,4,N. Mex.,0,0,1,0,0,0,1,6,1,6,0,0,2,0,2
76,2010,4,Utah,0,0,1,0,0,0,3,16,0,33,0,0,2,0,0
77,2010,4,Wyo.,0,0,2,0,0,0,0,5,0,0,0,0,4,2,6
78,2010,4,PACIFIC,4,3,9,9,15,3,22,44,10,25,1,4,12,9,10
79,2010,4,Alaska,0,0,2,0,1,0,1,4,2,7,0,0,3,4,3
80,2010,4,Calif.,3,2,6,6,7,1,11,22,1,5,1,4,12,4,7
81,2010,4,Hawaii,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0
82,2010,4,Oreg.,1,0,6,3,3,2,4,14,7,11,0,0,3,1,0
83,2010,4,Wash.,0,0,6,0,3,0,5,26,0,1,0,0,0,0,0
84,2010,4,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
85,2010,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2010,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2010,4,P.R.,0,0,0,0,0,0,0,1,0,0,0,1,3,3,1
88,2010,4,V.I.,0,0,0,0,0,0,0,0,0,0,N,0,0,N,N
22,2010,5,UNITED STATES,9,16,33,58,75,58,269,849,480,"1,214",15,62,140,132,421
23,2010,5,NEW ENGLAND,0,0,4,0,5,0,11,24,2,80,4,6,24,18,21
24,2010,5,Conn.,0,0,2,0,0,0,1,4,0,4,3,1,22,5,8
25,2010,5,Maine,0,0,1,0,0,0,1,10,0,16,0,1,4,6,3
26,2010,5,Mass.,0,0,3,0,4,0,6,16,0,48,0,0,0,0,0
27,2010,5,N.H.,0,0,1,0,1,0,1,7,1,7,0,0,3,2,2
28,2010,5,R.I.,0,0,1,0,0,0,0,7,0,2,0,1,7,0,5
29,2010,5,Vt.,0,0,1,0,0,0,0,1,1,3,1,1,5,5,3
30,2010,5,MID. ATLANTIC,0,2,6,8,4,3,21,38,31,99,8,9,23,31,59
31,2010,5,N.J.,0,0,2,0,0,0,2,11,0,24,0,0,0,0,0
32,2010,5,N.Y. (Upstate),0,0,3,2,0,0,4,27,6,13,8,7,22,31,25
33,2010,5,N.Y. City,0,0,2,3,2,0,1,11,0,0,0,0,3,0,0
34,2010,5,Pa.,0,1,4,3,2,3,11,29,25,62,0,0,16,0,34
35,2010,5,E.N. CENTRAL,1,2,10,10,19,28,50,100,178,349,0,2,19,3,5
36,2010,5,Ill.,0,1,4,3,4,0,11,29,0,94,0,1,9,0,1
37,2010,5,Ind.,0,0,3,2,2,0,6,15,3,52,0,0,7,0,1
38,2010,5,Mich.,0,0,5,2,2,8,14,40,58,78,0,1,6,1,3
39,2010,5,Ohio,1,1,3,3,7,20,19,49,116,107,0,0,5,2,0
40,2010,5,Wis.,0,0,3,0,4,0,3,12,1,18,N,0,0,N,N
41,2010,5,W.N. CENTRAL,0,1,6,3,8,3,30,357,44,250,0,7,18,11,13
42,2010,5,Iowa,0,0,2,1,1,0,3,10,1,24,0,0,3,0,1
43,2010,5,Kans.,0,0,2,0,2,0,4,12,7,19,0,1,6,6,7
44,2010,5,Minn.,0,0,2,0,2,0,0,354,0,0,0,0,11,2,0
45,2010,5,Mo.,0,0,3,2,3,2,16,47,28,176,0,1,5,1,0
46,2010,5,Nebr.,0,0,1,0,0,1,2,9,8,27,0,1,6,2,2
47,2010,5,N. Dak.,0,0,1,0,0,0,0,12,0,0,0,0,7,0,1
48,2010,5,S. Dak.,0,0,1,0,0,0,0,6,0,4,0,0,4,0,2
49,2010,5,S. ATLANTIC,4,3,10,17,11,7,28,71,55,141,3,23,102,57,284
50,2010,5,Del.,1,0,1,2,0,0,0,2,0,4,0,0,0,0,0
51,2010,5,D.C.,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
