date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,forecast_date,add
2017-06-30,12.666231815972907,12.666231815972907,12.304076586397263,13.03904663543228,11.950906142242593,13.424373558493944,11.605174799063278,13.824300899708453,11.265423308869298,14.24122503143354,10.930239044412001,14.677943251203153,10.598216154614331,15.137776591404357,10.26791251146248,15.624736599271378,9.937799446479989,16.143757909382092,9.606198632443634,16.701031756112368,9.27119741567867,17.304499216536236,8.930528225829486,17.964606836127317,8.58138674727875,18.695513107696666,8.220141265353202,19.517113299764056,7.841836862851196,20.45865416761969,7.439281008065244,21.565716934476807,7.00117863130331,22.915202834368863,6.507758780155595,24.65263907832314,5.918071566245237,27.109072038098464,5.115304045538388,31.363419845179237,4.490840699827704,35.72458680667955,2017-05-31,0
2017-07-31,12.946950299036999,12.946950299036999,12.571275983097262,13.333851096031369,12.205082163575026,13.73391180814756,11.846759567371913,14.149314088166294,11.494791167515379,14.582563493579883,11.14771082699615,15.036586851517917,10.804062049836844,15.514861102474471,10.462353560370996,16.021588362359864,10.121007600811142,16.56194014045599,9.778295166765151,17.142407667898958,9.43224929170354,17.7713201657184,9.080541700236527,18.459639036883452,8.720296988095898,19.222226292815208,8.34779577038527,20.0799740022866,7.9579685348417275,21.063607038887096,7.5434625027572,22.22103205052937,7.0927391881694035,23.63311516167521,6.585614802118496,25.452980030324916,5.980312897797708,28.029222702956353,5.157768076437935,32.499236018673145,4.519251803732258,37.090989687120576,2017-05-31,0
2017-08-31,13.38124781121989,13.38124781121989,12.992481423767106,13.781647026851022,12.613540251889301,14.195680943615901,12.242758407014438,14.625608627765343,11.878565692463736,15.07402472832885,11.519444800934279,15.54396032791048,11.163888635191212,16.039016406957398,10.810354360377286,16.563545191596095,10.457209938445702,17.122903149048874,10.102667169550902,17.7238139176703,9.744692053167753,18.374905231312045,9.380877297552026,19.087531720727533,9.008250271983192,19.87708906602758,8.62296622247437,20.76522026940009,8.219785210160376,21.783755707381005,7.791107818971818,22.982327692765402,7.3250092614047135,24.4447189887838,6.800631192953449,26.329584402519846,6.174803517553979,28.998136131173148,5.324498246231884,33.629045349389536,4.664551173842003,38.38692862657445,2017-05-31,0
2017-09-30,13.894846776033624,13.894846776033624,13.48921330827234,14.31267802778778,13.093888460832444,14.74480002689574,12.707131933028863,15.19357538325588,12.32730418915657,15.661718407117656,11.952821778137737,16.152400706131168,11.582112830502979,16.669390961292137,11.21356920070349,17.21724488197209,10.84549083540694,17.801570243289763,10.476016159667042,18.429407132146714,10.103028941024256,19.1097905446442,9.724025882809457,19.854612611712977,9.335917230031184,20.679999851370486,8.934708315079353,21.608625611605913,8.514956680838,22.673840180999175,8.068771381894672,23.92765364038818,7.583773108246159,25.45787752003318,7.0383131918468695,27.43082918689938,6.387595925112493,30.22526302429688,5.503997816234237,35.07755151355525,4.818682697183763,40.066295928198,2017-05-31,0
2017-10-31,13.82617200001301,13.82617200001301,13.422556560668971,14.241924130466566,13.029198068626702,14.671895474077527,12.644364895749604,15.118436849145592,12.266425671322155,15.584249014027488,11.893804824125374,16.072487736320422,11.524938300633304,16.5869028698782,11.15822594485363,17.13202735978935,10.791976142353365,17.713440953943543,10.424336551066999,18.33814854666957,10.053201426095228,19.015139961061493,9.676079867568697,19.756247859700352,9.28989741184863,20.57751810371214,8.890679150439786,21.50151062019685,8.47300953443531,22.561408835554197,8.02903661745129,23.80896255454193,7.546442251176145,25.331543767415727,7.003684693823641,27.29463711330769,6.356189422445324,30.0750999488622,5.476962850276884,34.903109150042816,4.79503507912403,39.86686833766937,2017-05-31,0
2017-11-30,13.858092642859868,13.858092642859868,13.45280753172312,14.275587548935093,13.057843503506561,14.707385001705255,12.671460951051746,15.155847651659037,12.292021289548307,15.623690129904086,11.917942306622656,16.114084693241782,11.547653707798508,16.630801075060933,11.179549330855192,17.17839655378988,10.811931618923968,17.76248116127096,10.442942159318893,18.390098189590322,10.070468773415419,19.070287195076993,9.692013452455052,19.814946877672778,9.304493501348265,20.640213427013336,8.903923967909114,21.56877488961585,8.484876302712433,22.634004886635008,8.039480539284513,23.887952804868448,7.555391375666775,25.418502119771176,7.011021372179831,27.392118994265246,6.361705280268603,30.18793283205635,5.4802051462038275,35.04371215576095,4.796692811701745,40.03732138726506,2017-05-31,0
2017-12-31,13.879988993464247,13.879988993464247,13.473756954836636,14.298468875789846,13.077879138596812,14.731294915404716,12.690611533250408,15.180836160173968,12.310311531308,15.649814707672036,11.935393171666465,16.141411655883434,11.564282585518443,16.65940736349203,11.195370112130096,17.20837207962865,10.826954666302212,17.793931940835105,10.457174154174357,18.42315061586536,10.083912407669425,19.105094002221154,9.7046669084824,19.851695712533793,9.316349622320706,20.67913960604437,8.914968944116682,21.610181220634335,8.49508754575121,22.678294181328823,8.04882307886716,23.935685077302495,7.563811282737266,25.470505180156884,7.018432308885176,27.449733213896344,6.367955446441735,30.253681276356797,5.484962120680168,35.124051947837046,4.800366260801513,40.133207341250106,2017-05-31,0
2018-01-31,13.894999862467207,13.894999862467207,13.485970690927342,14.316434879088964,13.08743684981697,14.752393718764251,12.6976396766388,15.205268545553157,12.314923737988368,15.677808915891971,11.937691737015577,16.17322891487492,11.564359685344035,16.695349023314293,11.19330878954965,17.24878896919377,10.822829621142311,17.83923686655854,10.45105235584855,18.473835419063665,10.075853542496256,19.161753429985946,9.694723662173551,19.91506183216751,9.304567786733292,20.750133225236926,8.901387323199689,21.689992151533797,8.47973761896486,22.768513585392316,8.031728368268869,24.038539692245294,7.544986406100716,25.589313324918724,6.997882035663911,27.589922235613464,6.345676417122585,30.42560138380186,5.460972842304791,35.354693523155944,4.775622665326043,40.42844979771496,2017-05-31,0
2018-02-28,13.905286129750793,13.905286129750793,13.49113235990056,14.33215368377462,13.087749866201614,14.773890418671083,12.693352408694468,15.232932650463368,12.30626060351622,15.712082539109618,11.924856207007673,16.21461751770332,11.54753679057332,16.744435272818027,11.172667228336982,17.306250906662004,10.798523546895552,17.90587217877833,10.423222910363208,18.550594572624565,10.044630195520728,19.249786063449584,9.660225421667445,20.015783681046294,9.266904364310376,20.865326191874324,8.860660392761334,21.82196064169231,8.436042439376148,22.920342534993065,7.985156385776999,24.214551726831974,7.495630446024519,25.795959891911576,6.945849067100358,27.83777483246686,6.291127700048847,30.734868463842894,5.40431602109339,35.778252344155135,4.718502607762198,40.97846253855129,2017-05-31,0
2018-03-31,13.91233281839836,13.91233281839836,13.491035651904003,14.346786224863894,13.080906738440655,14.796604571844615,12.680120741777866,15.264287177658703,12.28696444181896,15.752711368734985,11.89979013744437,16.26524520300927,11.516969626210498,16.80589692703479,11.136845144455641,17.37951834108444,10.757672791751856,17.99208882782579,10.377552199335918,18.65112318705271,9.994332896917491,19.36627551295402,9.605481660817238,20.150265367683442,9.207883224077966,21.0203582886191,8.797522508325924,22.00085356607006,8.368943562663878,23.12753133064206,7.914253182074779,24.456256326025535,7.421091689144809,26.081473259925275,6.867881634745909,28.182344242897674,6.210053221514051,31.16768851180547,5.320913989665335,36.37589422152222,4.634983606295643,41.75915621081879,2017-05-31,0
