date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2013-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,17.536666666652398,16.99999999998722,16.999999999984666,17.974999999984725,16.999999999984666,17.999999999984666,16.999999999984666,17.999999999984666,15.999999999987223,17.999999999987224,15.999999999987223,18.999999999984666,15.999999999984666,18.999999999984666,14.999999999987223,19.824999999982577,14.999999999987223,19.999999999984666,14.999999999984668,19.999999999984666,13.999999999987223,19.999999999987224,13.999999999987223,20.99999999998467,13.999999999987223,20.99999999998467,12.999999999988054,20.999999999987224,12.999999999987223,21.999999999984666,11.999999999989779,22.62499999998307,11.999999999987223,23.999999999982112,10.999999999989777,23.999999999982112,10.999999999987221,24.999999999982112,9.474999999991118,27.999999999979554,7.999999999989778,29.262499999979546
2014-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
