,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2011","Meningococcal diseases, invasive �, All groups cummulative for 2010",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2011,Mumps cummulative for 2010,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2011,Pertussis cummulative for 2010
22,2011,1,UNITED STATES,10,15,26,10,18,3,30,221,3,29,136,449,780,136,129
23,2011,1,NEW ENGLAND,1,0,3,1,0,0,0,4,0,0,0,8,22,0,2
24,2011,1,Conn.,1,0,1,1,0,0,0,2,0,0,0,1,8,0,0
25,2011,1,Maine,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0
26,2011,1,Mass.,0,0,2,0,0,0,0,2,0,0,0,5,13,0,1
27,2011,1,N.H.,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
28,2011,1,R.I.,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
29,2011,1,Vt.,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1
30,2011,1,MID. ATLANTIC,3,1,4,3,2,0,22,209,0,26,10,37,142,10,8
31,2011,1,N.J.,0,0,2,0,0,0,4,24,0,19,0,3,9,0,2
32,2011,1,N.Y. (Upstate),0,0,2,0,0,0,3,99,0,7,2,11,77,2,0
33,2011,1,N.Y. City,1,0,2,1,1,0,1,201,0,0,0,0,9,0,0
34,2011,1,Pa.,2,0,2,2,1,0,0,16,0,0,8,14,69,8,6
35,2011,1,E.N. CENTRAL,2,2,9,2,8,2,1,6,2,3,51,108,180,51,60
36,2011,1,Ill.,0,0,3,0,2,0,0,2,0,1,1,20,49,1,9
37,2011,1,Ind.,0,0,3,0,3,0,0,1,0,0,0,12,26,0,8
38,2011,1,Mich.,0,0,4,0,2,0,0,2,0,2,11,28,57,11,13
39,2011,1,Ohio,2,0,2,2,1,2,0,5,2,0,37,33,80,37,19
40,2011,1,Wis.,0,0,3,0,0,0,0,2,0,0,2,9,21,2,11
41,2011,1,W.N. CENTRAL,1,1,5,1,0,1,1,14,1,0,16,33,193,16,13
42,2011,1,Iowa,0,0,3,0,0,0,0,7,0,0,0,12,34,0,2
43,2011,1,Kans.,0,0,2,0,0,0,0,1,0,0,0,3,9,0,2
44,2011,1,Minn.,0,0,1,0,0,0,0,1,0,0,0,0,143,0,0
45,2011,1,Mo.,1,0,4,1,0,0,0,2,0,0,10,8,44,10,4
46,2011,1,Nebr.,0,0,2,0,0,1,0,10,1,0,6,4,13,6,3
47,2011,1,N. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,30,0,0
48,2011,1,S. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2
49,2011,1,S. ATLANTIC,1,2,7,1,4,0,1,4,0,0,15,30,79,15,15
50,2011,1,Del.,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
51,2011,1,D.C.,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
52,2011,1,Fla.,1,1,5,1,3,0,0,3,0,0,3,6,28,3,6
53,2011,1,Ga.,0,0,2,0,1,0,0,1,0,0,0,4,18,0,1
54,2011,1,Md.,0,0,1,0,0,0,0,1,0,0,1,3,8,1,2
55,2011,1,N.C.,0,0,2,0,0,0,0,0,0,0,0,0,32,0,3
56,2011,1,S.C.,0,0,1,0,0,0,0,2,0,0,8,6,22,8,1
57,2011,1,Va.,0,0,2,0,0,0,0,2,0,0,3,5,34,3,1
58,2011,1,W. Va.,0,0,1,0,0,0,0,1,0,0,0,1,21,0,1
59,2011,1,E.S. CENTRAL,0,1,3,0,2,0,0,2,0,0,10,16,34,10,9
60,2011,1,Ala.,0,0,1,0,1,0,0,2,0,0,0,4,8,0,0
61,2011,1,Ky.,0,0,2,0,1,0,0,1,0,0,9,6,16,9,5
62,2011,1,Miss.,0,0,1,0,0,0,0,0,0,0,0,1,8,0,1
63,2011,1,Tenn.,0,0,2,0,0,0,0,1,0,0,1,4,11,1,3
64,2011,1,W.S. CENTRAL,0,1,9,0,1,0,1,11,0,0,0,54,113,0,3
65,2011,1,Ark.,0,0,1,0,1,0,0,1,0,0,0,3,14,0,0
66,2011,1,La.,0,0,4,0,0,0,0,2,0,0,0,1,3,0,2
67,2011,1,Okla.,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0
68,2011,1,Tex.,0,1,4,0,0,0,1,11,0,0,0,49,108,0,1
69,2011,1,MOUNTAIN,1,1,6,1,1,0,0,4,0,0,25,29,123,25,15
70,2011,1,Ariz.,0,0,2,0,1,0,0,1,0,0,0,7,16,0,8
71,2011,1,Colo.,0,0,4,0,0,0,0,1,0,0,25,5,108,25,1
72,2011,1,Idaho,1,0,1,1,0,0,0,1,0,0,0,2,15,0,3
73,2011,1,Mont.,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0
74,2011,1,Nev.,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0
75,2011,1,N. Mex.,0,0,1,0,0,0,0,2,0,0,0,2,11,0,2
76,2011,1,Utah,0,0,1,0,0,0,0,1,0,0,0,4,13,0,1
77,2011,1,Wyo.,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
78,2011,1,PACIFIC,1,3,9,1,0,0,0,18,0,0,9,66,222,9,4
79,2011,1,Alaska,0,0,1,0,0,0,0,1,0,0,0,0,6,0,1
80,2011,1,Calif.,0,2,9,0,0,0,0,18,0,0,9,41,194,9,0
81,2011,1,Hawaii,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0
82,2011,1,Oreg.,1,1,2,1,0,0,0,1,0,0,0,6,15,0,3
83,2011,1,Wash.,0,0,4,0,0,0,0,2,0,0,0,6,38,0,0
84,2011,1,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2011,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2011,1,Guam,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
87,2011,1,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
88,2011,1,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2011,2,UNITED STATES,3,15,26,16,39,1,30,221,6,78,117,449,784,285,301
23,2011,2,NEW ENGLAND,0,0,3,1,1,0,0,4,0,1,0,9,23,0,10
24,2011,2,Conn.,0,0,1,1,0,0,0,2,0,0,0,2,8,0,2
25,2011,2,Maine,0,0,1,0,0,0,0,1,0,1,0,1,5,0,0
26,2011,2,Mass.,0,0,2,0,1,0,0,2,0,0,0,5,13,0,6
