,model_name,weigth,date_forecast,forecast_window,past_months
3,eakf_model3,2.702773907991419e-11,2007-09-30,6m,2
0,arima,3.3367424536119032e-15,2007-10-31,1m,2
1,eakf_model1,1.6389242204803058e-12,2007-10-31,1m,2
2,eakf_model2,0.9999999999983537,2007-10-31,1m,2
3,eakf_model3,3.9982562131405116e-15,2007-10-31,1m,2
0,arima,2.528894117036328e-73,2007-10-31,2m,2
1,eakf_model1,1.2770367240980072e-11,2007-10-31,2m,2
2,eakf_model2,0.9999999999870705,2007-10-31,2m,2
3,eakf_model3,1.593586984160779e-13,2007-10-31,2m,2
0,arima,1e-323,2007-10-31,3m,2
1,eakf_model1,1.5704452899047572e-10,2007-10-31,3m,2
2,eakf_model2,2.163622575641287e-30,2007-10-31,3m,2
3,eakf_model3,0.9999999998429554,2007-10-31,3m,2
0,arima,7.534156637237387e-102,2007-10-31,4m,2
1,eakf_model1,7.977556673527939e-12,2007-10-31,4m,2
2,eakf_model2,3.400884799124386e-23,2007-10-31,4m,2
3,eakf_model3,0.9999999999920224,2007-10-31,4m,2
0,arima,8.322482543436616e-168,2007-10-31,5m,2
1,eakf_model1,3.741869431707301e-12,2007-10-31,5m,2
2,eakf_model2,1.7156212866579823e-21,2007-10-31,5m,2
3,eakf_model3,0.999999999996258,2007-10-31,5m,2
0,arima,0.0,2007-10-31,6m,2
1,eakf_model1,5.709602996695655e-10,2007-10-31,6m,2
2,eakf_model2,3.333784024590302e-94,2007-10-31,6m,2
3,eakf_model3,0.9999999994290398,2007-10-31,6m,2
0,arima,1.643228093802476e-23,2007-11-30,1m,2
1,eakf_model1,2.454345969133984e-13,2007-11-30,1m,2
2,eakf_model2,0.9999999999997542,2007-11-30,1m,2
3,eakf_model3,2.762703332500948e-16,2007-11-30,1m,2
0,arima,3.232368100146914e-17,2007-11-30,2m,2
1,eakf_model1,1.3599759473179724e-12,2007-11-30,2m,2
2,eakf_model2,0.99999999999864,2007-11-30,2m,2
3,eakf_model3,3.183593940530927e-21,2007-11-30,2m,2
0,arima,2.8223689979345853e-80,2007-11-30,3m,2
1,eakf_model1,1.856263995617228e-11,2007-11-30,3m,2
2,eakf_model2,0.9999999999814226,2007-11-30,3m,2
3,eakf_model3,1.4660602217280408e-14,2007-11-30,3m,2
0,arima,7.084087313858391e-124,2007-11-30,4m,2
1,eakf_model1,1.5705686817355446e-11,2007-11-30,4m,2
2,eakf_model2,6.694189818180177e-28,2007-11-30,4m,2
3,eakf_model3,0.9999999999842945,2007-11-30,4m,2
0,arima,1.1179128600541943e-54,2007-11-30,5m,2
1,eakf_model1,1.635492692401169e-12,2007-11-30,5m,2
2,eakf_model2,6.9796470975275665e-22,2007-11-30,5m,2
3,eakf_model3,0.9999999999983646,2007-11-30,5m,2
0,arima,1.3838900634714208e-106,2007-11-30,6m,2
1,eakf_model1,1.1911008816593188e-12,2007-11-30,6m,2
2,eakf_model2,1.8416656467370615e-19,2007-11-30,6m,2
3,eakf_model3,0.999999999998809,2007-11-30,6m,2
0,arima,1.1554844145999975e-33,2007-12-31,1m,2
1,eakf_model1,1.01084241565195e-12,2007-12-31,1m,2
2,eakf_model2,0.9999999999989893,2007-12-31,1m,2
