,model_name,weigth,date_forecast,forecast_window
2,eakf_model2,4.3809964682799845e-140,2007-10-31,1m
3,eakf_model3,0.9999999988842314,2007-10-31,1m
0,arima,4e-323,2007-10-31,2m
1,eakf_model1,0.9999999861416096,2007-10-31,2m
2,eakf_model2,7e-323,2007-10-31,2m
3,eakf_model3,1.385839043476284e-08,2007-10-31,2m
0,arima,0.0,2007-10-31,3m
1,eakf_model1,0.9999999982594484,2007-10-31,3m
2,eakf_model2,3.725223506810852e-252,2007-10-31,3m
3,eakf_model3,1.740551476140224e-09,2007-10-31,3m
0,arima,4.904878306020632e-215,2007-10-31,4m
1,eakf_model1,0.9999999999141548,2007-10-31,4m
2,eakf_model2,3.718160932026434e-80,2007-10-31,4m
3,eakf_model3,8.584557112176436e-11,2007-10-31,4m
0,arima,3.722753030455281e-214,2007-10-31,5m
1,eakf_model1,0.9999999999582184,2007-10-31,5m
2,eakf_model2,1.3897044169940793e-59,2007-10-31,5m
3,eakf_model3,4.1781629896798246e-11,2007-10-31,5m
0,arima,5.276898911859054e-282,2007-10-31,6m
1,eakf_model1,0.9999999999546166,2007-10-31,6m
2,eakf_model2,9.304609166973536e-77,2007-10-31,6m
3,eakf_model3,4.538327763123248e-11,2007-10-31,6m
0,arima,9.133403666930307e-195,2007-11-30,1m
1,eakf_model1,1.9086473590154195e-10,2007-11-30,1m
2,eakf_model2,8.071420026959511e-63,2007-11-30,1m
3,eakf_model3,0.9999999998091352,2007-11-30,1m
0,arima,1.4674e-320,2007-11-30,2m
1,eakf_model1,6.162952876129957e-10,2007-11-30,2m
2,eakf_model2,2.937971805280913e-116,2007-11-30,2m
3,eakf_model3,0.9999999993837048,2007-11-30,2m
0,arima,4e-323,2007-11-30,3m
1,eakf_model1,6.445651694676123e-07,2007-11-30,3m
2,eakf_model2,4.4e-323,2007-11-30,3m
3,eakf_model3,0.9999993554348304,2007-11-30,3m
0,arima,0.0,2007-11-30,4m
1,eakf_model1,0.6092118303920966,2007-11-30,4m
2,eakf_model2,1.3697465588496536e-236,2007-11-30,4m
3,eakf_model3,0.3907881696079033,2007-11-30,4m
0,arima,0.0,2007-11-30,5m
1,eakf_model1,0.9999999983353828,2007-11-30,5m
2,eakf_model2,5.970556656157309e-281,2007-11-30,5m
3,eakf_model3,1.664617443303738e-09,2007-11-30,5m
0,arima,0.0,2007-11-30,6m
1,eakf_model1,0.9999999999243562,2007-11-30,6m
2,eakf_model2,2.4251864404742082e-73,2007-11-30,6m
3,eakf_model3,7.564388899462682e-11,2007-11-30,6m
0,arima,8.855844713558009e-81,2007-12-31,1m
1,eakf_model1,3.6017937200133286e-11,2007-12-31,1m
2,eakf_model2,1.6767090089923317e-29,2007-12-31,1m
3,eakf_model3,0.999999999963982,2007-12-31,1m
0,arima,5.927243321642493e-249,2007-12-31,2m
1,eakf_model1,2.4484250811536427e-10,2007-12-31,2m
2,eakf_model2,9.198336633516125e-73,2007-12-31,2m
3,eakf_model3,0.9999999997551576,2007-12-31,2m
0,arima,1.0493435692894853e-251,2007-12-31,3m
1,eakf_model1,2.2942508201491918e-10,2007-12-31,3m
2,eakf_model2,7.078219292954021e-85,2007-12-31,3m
3,eakf_model3,0.999999999770575,2007-12-31,3m
0,arima,0.0,2007-12-31,4m
1,eakf_model1,6.844047725727235e-10,2007-12-31,4m
2,eakf_model2,7.857705070790871e-170,2007-12-31,4m
3,eakf_model3,0.9999999993155952,2007-12-31,4m
0,arima,0.0,2007-12-31,5m
1,eakf_model1,2.446228004513057e-10,2007-12-31,5m
2,eakf_model2,8.069260293629334e-118,2007-12-31,5m
3,eakf_model3,0.9999999997553772,2007-12-31,5m
0,arima,0.0,2007-12-31,6m
1,eakf_model1,1.0642464537970245e-07,2007-12-31,6m
2,eakf_model2,3.5e-323,2007-12-31,6m
3,eakf_model3,0.9999998935753548,2007-12-31,6m
0,arima,4.846165272605019e-71,2008-01-31,1m
1,eakf_model1,3.2907412636487446e-11,2008-01-31,1m
2,eakf_model2,8.0125217463031585e-25,2008-01-31,1m
3,eakf_model3,0.999999999967093,2008-01-31,1m
0,arima,1.267126702909383e-119,2008-01-31,2m
1,eakf_model1,7.534991847112517e-11,2008-01-31,2m
2,eakf_model2,1.1981974119368064e-40,2008-01-31,2m
3,eakf_model3,0.9999999999246502,2008-01-31,2m
0,arima,3.3410625715234784e-234,2008-01-31,3m
1,eakf_model1,1.566429743114177e-10,2008-01-31,3m
2,eakf_model2,1.9436438961233802e-66,2008-01-31,3m
3,eakf_model3,0.9999999998433572,2008-01-31,3m
0,arima,9.394912485541142e-273,2008-01-31,4m
1,eakf_model1,1.96828561512472e-10,2008-01-31,4m
2,eakf_model2,3.8011077803825683e-90,2008-01-31,4m
3,eakf_model3,0.9999999998031714,2008-01-31,4m
0,arima,1.9808536745943112e-221,2008-01-31,5m
1,eakf_model1,5.7061805759804596e-11,2008-01-31,5m
2,eakf_model2,4.328889767116278e-65,2008-01-31,5m
3,eakf_model3,0.999999999942938,2008-01-31,5m
0,arima,2.0479921190905197e-276,2008-01-31,6m
1,eakf_model1,5.873500283287781e-11,2008-01-31,6m
2,eakf_model2,2.5998826874824952e-68,2008-01-31,6m
3,eakf_model3,0.999999999941265,2008-01-31,6m
0,arima,1.625634078619373e-83,2008-02-29,1m
1,eakf_model1,3.13554468350452e-11,2008-02-29,1m
2,eakf_model2,9.699655799389022e-28,2008-02-29,1m
3,eakf_model3,0.9999999999686446,2008-02-29,1m
0,arima,5.408649321000014e-105,2008-02-29,2m
1,eakf_model1,6.800501809533593e-11,2008-02-29,2m
2,eakf_model2,2.105988406784247e-35,2008-02-29,2m
3,eakf_model3,0.9999999999319952,2008-02-29,2m
0,arima,9.383210223107528e-153,2008-02-29,3m
1,eakf_model1,8.316216010919984e-11,2008-02-29,3m
2,eakf_model2,2.8426146670442937e-48,2008-02-29,3m
3,eakf_model3,0.9999999999168376,2008-02-29,3m
0,arima,8.422111000615587e-243,2008-02-29,4m
1,eakf_model1,1.5133955609816358e-10,2008-02-29,4m
2,eakf_model2,6.796289123449491e-75,2008-02-29,4m
3,eakf_model3,0.9999999998486606,2008-02-29,4m
0,arima,2.5563538972997542e-199,2008-02-29,5m
1,eakf_model1,5.932795569563309e-11,2008-02-29,5m
2,eakf_model2,8.877835921223257e-58,2008-02-29,5m
3,eakf_model3,0.9999999999406722,2008-02-29,5m
0,arima,1.9282563323397114e-241,2008-02-29,6m
1,eakf_model1,5.2200875084255776e-11,2008-02-29,6m
2,eakf_model2,7.765054132815645e-63,2008-02-29,6m
3,eakf_model3,0.9999999999477992,2008-02-29,6m
0,arima,5.607290642278562e-90,2008-03-31,1m
1,eakf_model1,3.4624588343460084e-11,2008-03-31,1m
2,eakf_model2,5.886635925031406e-29,2008-03-31,1m
3,eakf_model3,0.9999999999653756,2008-03-31,1m
0,arima,1.8771119054089592e-107,2008-03-31,2m
1,eakf_model1,5.7999978806678915e-11,2008-03-31,2m
2,eakf_model2,8.168528532664728e-36,2008-03-31,2m
3,eakf_model3,0.9999999999420002,2008-03-31,2m
0,arima,1.3531453845835768e-135,2008-03-31,3m
1,eakf_model1,7.833836548399032e-11,2008-03-31,3m
2,eakf_model2,1.9350317437904796e-44,2008-03-31,3m
3,eakf_model3,0.999999999921662,2008-03-31,3m
0,arima,1.5630339932578825e-157,2008-03-31,4m
1,eakf_model1,8.400522537484697e-11,2008-03-31,4m
2,eakf_model2,1.1384705811674695e-55,2008-03-31,4m
3,eakf_model3,0.9999999999159946,2008-03-31,4m
0,arima,1.301919496617595e-209,2008-03-31,5m
1,eakf_model1,7.248950682759728e-11,2008-03-31,5m
2,eakf_model2,1.844693680946034e-56,2008-03-31,5m
3,eakf_model3,0.9999999999275104,2008-03-31,5m
0,arima,1.497644245356164e-300,2008-03-31,6m
1,eakf_model1,1.2788844432839186e-10,2008-03-31,6m
2,eakf_model2,1.3005412249896012e-74,2008-03-31,6m
3,eakf_model3,0.9999999998721116,2008-03-31,6m
0,arima,1.6130074425972768e-119,2008-04-30,1m
1,eakf_model1,4.9556762053695305e-11,2008-04-30,1m
2,eakf_model2,2.7514320662214245e-39,2008-04-30,1m
3,eakf_model3,0.9999999999504432,2008-04-30,1m
0,arima,6.160165115089578e-116,2008-04-30,2m
1,eakf_model1,6.4228931667151e-11,2008-04-30,2m
2,eakf_model2,2.621394925380964e-38,2008-04-30,2m
3,eakf_model3,0.9999999999357712,2008-04-30,2m
0,arima,9.529760769860366e-136,2008-04-30,3m
1,eakf_model1,6.205334558938133e-11,2008-04-30,3m
2,eakf_model2,8.164831910492812e-44,2008-04-30,3m
3,eakf_model3,0.9999999999379467,2008-04-30,3m
0,arima,6.869252337194441e-142,2008-04-30,4m
1,eakf_model1,8.162942225538339e-11,2008-04-30,4m
2,eakf_model2,1.5045063635236133e-51,2008-04-30,4m
3,eakf_model3,0.9999999999183709,2008-04-30,4m
0,arima,7.662142173466868e-182,2008-04-30,5m
1,eakf_model1,7.01908496571018e-11,2008-04-30,5m
2,eakf_model2,4.3839423695127336e-52,2008-04-30,5m
3,eakf_model3,0.999999999929809,2008-04-30,5m
0,arima,0.0,2008-04-30,6m
1,eakf_model1,3.9538484889439947e-10,2008-04-30,6m
2,eakf_model2,3.4055361168835837e-100,2008-04-30,6m
3,eakf_model3,0.999999999604615,2008-04-30,6m
0,arima,3.075079906122295e-150,2008-05-31,1m
1,eakf_model1,6.666913780315584e-11,2008-05-31,1m
2,eakf_model2,8.994562723332252e-52,2008-05-31,1m
3,eakf_model3,0.9999999999333308,2008-05-31,1m
0,arima,6.669405437082001e-135,2008-05-31,2m
1,eakf_model1,7.279081527498825e-11,2008-05-31,2m
2,eakf_model2,5.566265529190824e-48,2008-05-31,2m
3,eakf_model3,0.9999999999272092,2008-05-31,2m
0,arima,1.4291186744454437e-143,2008-05-31,3m
1,eakf_model1,6.570630353201883e-11,2008-05-31,3m
2,eakf_model2,1.1283245085125041e-45,2008-05-31,3m
3,eakf_model3,0.999999999934294,2008-05-31,3m
0,arima,1.5516062954092539e-140,2008-05-31,4m
1,eakf_model1,6.221548007894633e-11,2008-05-31,4m
2,eakf_model2,1.1629877166185554e-49,2008-05-31,4m
