eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
4m,8.005373872142426,7.87394846776475,15.927505082329231,imd_incidence,2022-04-30,all_past_ens,1m,2007-07-31,wis,all_past_ens
5m,7.5960111561245345,7.320216980948958,15.303853373078255,imd_incidence,2022-04-30,all_past_ens,1m,2007-07-31,wis,all_past_ens
6m,12.544612644081516,12.213961401829534,24.424180782837464,imd_incidence,2022-04-30,all_past_ens,1m,2007-07-31,wis,all_past_ens
1m,3.4204154810807665,3.256288833550393,9.8118713120138,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
2m,3.6490399382274816,3.4705162157048974,10.147955413948077,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
3m,5.857906260424599,5.593959897445065,12.783463633547283,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
4m,8.530172835641455,8.20695851811912,16.88111939012911,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
5m,9.199609768117224,8.859838813598776,17.733918259952873,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
6m,15.038659121815906,14.594749329882575,28.725553781069223,imd_incidence,2022-04-30,all_past_ens,2m,2007-07-31,wis,all_past_ens
1m,5.1899999997884905,4.999999999792841,11.609131097374743,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
2m,5.206666666562988,4.999999999896424,11.569596036493701,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
3m,7.305555555479468,6.999999999930952,14.306895325132862,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
4m,9.124166666580695,8.749999999933417,17.006147103559414,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
5m,9.393333333188082,8.999999999863867,17.197469512015633,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
6m,15.347222221995787,14.833333333121237,28.492888719160824,imd_incidence,2022-04-30,all_past_ens,3m,2007-07-31,wis,all_past_ens
1m,5.189999999874843,4.999999999877417,11.609131097450774,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
2m,5.206666666605315,4.999999999938709,11.569596036531122,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
3m,7.305555555510527,6.999999999959139,14.306895325161594,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
4m,9.12416666661579,8.749999999960599,17.00614710359988,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
5m,9.39333333324738,8.999999999919444,17.19746951208891,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
6m,15.347222222088229,14.833333333207827,28.49288871930427,imd_incidence,2022-04-30,all_past_ens,4m,2007-07-31,wis,all_past_ens
1m,5.189999999815271,4.99999999981906,11.609131097398315,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
2m,5.206666666576112,4.999999999909527,11.569596036505299,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
3m,7.305555555489093,6.999999999939682,14.306895325141756,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
4m,9.124166666591574,8.749999999941833,17.00614710357196,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
5m,9.393333333206469,8.999999999881092,17.19746951203835,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
6m,15.347222222024456,14.833333333148085,28.49288871920531,imd_incidence,2022-04-30,all_past_ens,5m,2007-07-31,wis,all_past_ens
1m,5.18999999995679,4.99999999995768,11.609131097522928,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
2m,5.206666666645486,4.99999999997884,11.569596036566637,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
3m,7.3055555555400105,6.999999999985891,14.306895325188874,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
4m,9.124166666649103,8.749999999986395,17.006147103638288,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
5m,9.39333333330366,8.999999999972188,17.197469512158452,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
6m,15.347222222175965,14.833333333290005,28.492888719440415,imd_incidence,2022-04-30,all_past_ens,6m,2007-07-31,wis,all_past_ens
1m,2.750000000521773,3.000000000242693,9.755792683099477,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
2m,6.555000000279495,6.50000000012135,14.11820884153178,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
3m,9.427777777849776,9.000000000000007,18.14483739823615,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
4m,9.370833333369943,9.000000000000007,17.816878810801175,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
5m,15.49066666688897,15.000000000194154,29.27600609780715,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
6m,14.754999999812865,10.666666667192493,27.6659095525142,imd_incidence,2022-04-30,all_past_ens,1m,2007-08-31,wis,all_past_ens
1m,4.899998929256299,3.99999950197968,10.759862110481327,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
2m,7.70666609311326,6.9999997509898435,14.546234445757264,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
3m,9.724444296698417,9.000000000000007,17.67441581990297,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
4m,9.521666591548604,9.000000000000007,17.195655736452544,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
5m,16.406666210480047,15.799999601583744,30.368429285412184,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
6m,13.983889272917898,12.833332254289294,26.999799171933603,imd_incidence,2022-04-30,all_past_ens,2m,2007-08-31,wis,all_past_ens
1m,4.899999999749326,3.999999999883407,10.759862804715484,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
2m,7.706666666532392,6.999999999941707,14.546234756024907,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
3m,9.724444444409857,9.000000000000005,17.67441565044619,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
4m,9.52166666664908,9.000000000000005,17.195655487863093,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
5m,16.406666666559868,15.799999999906731,30.368429877910042,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
6m,13.983888888978797,12.833333333080722,26.999799288590562,imd_incidence,2022-04-30,all_past_ens,3m,2007-08-31,wis,all_past_ens
1m,4.899999999908552,3.999999999957467,10.75986280481874,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
2m,7.706666666617682,6.9999999999787335,14.546234756071058,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
3m,9.724444444431832,9.000000000000002,17.674415650420986,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
4m,9.521666666660256,9.000000000000002,17.19565548782612,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
5m,16.406666666627707,15.799999999965971,30.36842987799817,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
6m,13.983888888921697,12.83333333324117,26.999799288607925,imd_incidence,2022-04-30,all_past_ens,4m,2007-08-31,wis,all_past_ens
1m,4.899999999921057,3.999999999963279,10.75986280482685,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
2m,7.706666666624383,6.99999999998164,14.546234756074682,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
3m,9.724444444433551,9.0,17.674415650418997,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
4m,9.521666666661126,9.0,17.19565548782321,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
5m,16.406666666633033,15.799999999970627,30.36842987800509,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
6m,13.9838888889172,12.833333333253778,26.999799288609285,imd_incidence,2022-04-30,all_past_ens,5m,2007-08-31,wis,all_past_ens
1m,4.89999999996531,3.9999999999838565,10.75986280485555,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
2m,7.706666666648086,6.999999999991925,14.546234756087504,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
3m,9.724444444439655,8.999999999999991,17.674415650411987,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
4m,9.52166666666423,8.999999999999991,17.195655487812925,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
5m,16.406666666651887,15.799999999987085,30.36842987802958,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
6m,13.983888888901324,12.833333333298375,26.999799288614096,imd_incidence,2022-04-30,all_past_ens,6m,2007-08-31,wis,all_past_ens
1m,8.680000000010494,8.99999999999902,15.85740853654634,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
2m,11.688333333231547,11.499999999924881,20.569977133944956,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
3m,11.269999999831745,10.999999999826457,19.919039633842083,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
4m,19.550833333182055,19.249999999842547,35.7750076217045,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
5m,17.01799999982037,13.799999999942093,31.498777438764154,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
6m,25.01388888861017,0.6666666667311366,46.94785060928776,imd_incidence,2022-04-30,all_past_ens,1m,2007-09-30,wis,all_past_ens
1m,8.680000000169407,9.0,15.8574085360173,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
2m,11.688333331704872,11.499999998770459,20.56997713093152,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
3m,11.269999997349652,10.999999997267684,19.9190396293554,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
4m,19.55083333096988,19.249999997540915,35.77500761807597,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
5m,17.0179999972655,13.799999999016364,31.498777434995862,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
6m,25.01388888472575,0.6666666674863583,46.947850602759665,imd_incidence,2022-04-30,all_past_ens,2m,2007-09-30,wis,all_past_ens
1m,8.783333333309237,9.000000000000007,15.51089939032475,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
2m,10.695000000231737,10.750000000174971,18.60898628094528,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
3m,9.65333333371048,9.333333333722146,16.996646342145173,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
4m,18.109166667002988,17.750000000349935,33.41116997006365,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
5m,15.35000000038912,13.200000000139983,29.06095731763733,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
6m,22.474444445036852,1.1666666665500394,42.6964049806628,imd_incidence,2022-04-30,all_past_ens,3m,2007-09-30,wis,all_past_ens
1m,8.78333333332391,9.0,15.510899390275494,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
2m,10.69500000009058,10.750000000068386,18.608986280666613,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
3m,9.65333333348075,9.333333333485305,16.99664634172989,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
4m,18.109166666798124,17.750000000136772,33.411169969727744,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
5m,15.350000000152097,13.200000000054706,29.06095731729368,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
6m,22.474444444676,1.1666666666210712,42.69640498006098,imd_incidence,2022-04-30,all_past_ens,4m,2007-09-30,wis,all_past_ens
1m,8.783333333326937,9.0,15.510899390265326,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
2m,10.695000000061412,10.75000000004637,18.60898628060905,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
3m,9.653333333433286,9.33333333343638,16.9966463416441,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
4m,18.1091666667558,17.75000000009274,33.411169969658346,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
5m,15.350000000103126,13.200000000037097,29.06095731722269,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
6m,22.47444444460145,1.1666666666357532,42.69640497993666,imd_incidence,2022-04-30,all_past_ens,5m,2007-09-30,wis,all_past_ens
1m,8.78333333333137,8.999999999999993,15.510899390250472,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
2m,10.695000000018847,10.750000000014222,18.608986280525006,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
3m,9.653333333364005,9.33333333336495,16.996646341518854,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
4m,18.109166666694016,17.75000000002845,33.411169969557044,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
5m,15.350000000031645,13.200000000011375,29.060957317119048,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
6m,22.474444444492622,1.1666666666571714,42.69640497975516,imd_incidence,2022-04-30,all_past_ens,6m,2007-09-30,wis,all_past_ens
