eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
4m,10.993902431857789,4.7621950825831725,23.00545492244297,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
5m,12.956097544324129,7.970731664900908,26.683804081577676,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
6m,17.235772335098904,13.081300768911627,34.823908747571686,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
1m,7.804878080076946,-7.804878080077373,13.378934347270222,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
2m,6.231707349417299,-6.231707349417764,12.262295458802686,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
3m,4.983739847133752,-3.32520328542333,12.342890045287662,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
4m,10.993902431960265,4.762195082542128,23.00545492264622,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
5m,12.956097544460135,7.970731664925412,26.683804081845132,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
6m,17.2357723352269,13.081300768947544,34.823908747830146,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
1m,7.804878080084848,-7.804878080085153,13.378934347281982,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
2m,6.231707349424262,-6.231707349424596,12.262295458810842,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
3m,4.983739847136566,-3.325203285429614,12.342890045292885,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
4m,10.993902431964568,4.762195082539696,23.00545492265467,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
5m,12.956097544464829,7.9707316649247755,26.683804081854746,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
6m,17.235772335230145,13.081300768946463,34.82390874783719,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
1m,7.8048780800814015,-7.804878080081757,13.378934347276848,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
2m,6.231707349421228,-6.231707349421619,12.262295458807285,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
3m,4.98373984713534,-3.3252032854268756,12.342890045290604,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
4m,10.993902431962688,4.762195082540751,23.00545492265098,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
5m,12.956097544462773,7.9707316649250455,26.68380408185054,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
6m,17.235772335228717,13.081300768946925,34.823908747834096,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
1m,5.18999999995679,4.99999999995768,11.609131097522928,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
2m,5.206666666645486,4.99999999997884,11.569596036566637,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
3m,7.3055555555400105,6.999999999985891,14.306895325188874,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
4m,9.124166666649103,8.749999999986395,17.006147103638288,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
5m,9.39333333330366,8.999999999972188,17.197469512158452,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
6m,15.347222222175965,14.833333333290005,28.492888719440415,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
1m,2.749999999997584,2.999999999987054,9.755792682929734,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
2m,6.554999999987338,6.499999999981668,14.118208841444474,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
3m,9.427777777762687,8.999999999984189,18.144837398350493,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
4m,9.370833333322661,8.999999999988141,17.816878810958237,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
5m,15.490666666669267,15.00000000000387,29.27600609756742,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
6m,14.754999999984186,10.666666666686707,27.665909552825774,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
1m,2.750000000048175,3.0000000000224105,9.75579268294277,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
2m,6.555000000025807,6.500000000011205,14.118208841469729,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
3m,9.427777777784426,9.000000000000002,18.14483739836126,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
4m,9.370833333336714,9.000000000000002,17.81687881095951,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
5m,15.490666666687193,15.000000000017929,29.27600609758371,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
6m,14.754999999982722,10.666666666715221,27.665909552814938,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
1m,2.7500000337582406,3.0000000157015094,9.755792694096684,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
2m,6.555000018082904,6.500000007850755,14.118208845886285,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
3m,9.427777782435891,9.000000000000002,18.144837389455798,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
4m,9.370833335701644,9.000000000000002,17.816878799689615,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
5m,15.490666681049248,15.000000012561207,29.27600611348819,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
6m,14.754999987892392,10.6666667006866,27.665909531408307,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
1m,3.6666666166670296,3.6666666166429067,9.908284981589334,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
2m,7.499999948409329,7.499999948390386,15.888705702489005,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
3m,19.444444381121894,19.444444381102475,38.021589805896056,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
4m,23.16666659867864,23.166666598664655,44.89517426632788,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
5m,28.13333327486265,28.133333274846386,54.645615446486,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
6m,26.499999938415424,26.499999938401288,52.822728023588574,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
1m,3.66666661666207,3.666666616641571,9.908284981585911,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
2m,7.499999948408497,7.499999948392407,15.888705702494406,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
3m,19.444444381161002,19.444444381144503,38.02158980597818,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
4m,23.166666598733535,23.166666598721655,44.89517426644059,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
5m,28.13333327490983,28.13333327489601,54.64561544658469,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
6m,26.49999993846829,26.49999993845628,52.822728023697785,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
1m,3.6666666166580484,3.6666666166404767,9.90828498158313,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
2m,7.499999948407826,7.499999948394027,15.888705702498775,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
3m,19.444444381192678,19.44444438117853,38.02158980604471,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
4m,23.166666598778004,23.16666659876782,44.895174266531896,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
5m,28.133333274948047,28.1333332749362,54.645615446664635,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
6m,26.49999993851111,26.499999938500817,52.82272802378623,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
1m,8.679999999956301,8.999999999948713,15.857408536521515,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
2m,11.688333333283374,11.499999999943583,20.569977134067404,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
3m,11.269999999949741,10.999999999945294,19.919039634068913,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
4m,19.550833333288068,19.249999999951278,35.77500762187943,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
5m,17.017999999956338,13.79999999996923,31.498777438959983,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
6m,25.01388888883886,0.6666666666529958,46.94785060967431,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
1m,8.680000000003268,8.999999999999929,15.857408536574138,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
2m,11.688333333301333,11.499999999975813,20.56997713408319,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
3m,11.269999999947958,10.999999999946345,19.919039634052282,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
4m,19.550833333286924,19.24999999995171,35.77500762187513,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
5m,17.017999999946316,13.799999999980667,31.498777438945304,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
6m,25.013888888807184,0.6666666666827202,46.94785060961878,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
1m,8.680000000016427,8.999999999999993,15.857408536530258,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
2m,11.688333333175382,11.499999999880739,20.569977133834524,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
3m,11.269999999742936,10.999999999734987,19.919039633681656,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
4m,19.550833333104094,19.249999999761485,35.77500762157535,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
5m,17.017999999734776,13.799999999904589,31.49877743863366,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
6m,25.0138888884851,0.6666666667461622,46.94785060907751,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
1m,8.680000000198874,8.999999999999993,15.85740853591849,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
2m,11.68833333142161,11.499999998556582,20.56997713037231,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
3m,11.269999996888636,10.99999999679241,19.919039628522036,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
4m,19.550833330558767,19.249999997113168,35.77500761740189,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
5m,17.017999996789843,13.799999998845266,31.498777434295114,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
6m,25.013888884001588,0.6666666676289404,46.94785060154266,imd_incidence,2022-04-30,2_past_ens,4m,2007-09-30,wis,2_past_ens
1m,8.78333333324872,8.99999999990527,15.510899390157705,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
2m,10.695000000728609,10.750000000718163,18.608986281883954,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
3m,9.653333334267396,9.333333334288257,16.99664634314181,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
4m,18.109166667379945,17.750000000736758,33.41116997081051,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
5m,15.35000000037914,13.200000000786725,29.06095731814747,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
6m,22.474444444513228,1.1666666675829245,42.69640497987201,imd_incidence,2022-04-30,2_past_ens,5m,2007-09-30,wis,2_past_ens
1m,8.783333333178021,8.999999999819686,15.510899390060558,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
2m,10.695000001331671,10.750000001325326,18.60898628303633,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
3m,9.653333335021431,9.333333335058358,16.99664634449573,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
4m,18.10916666794423,17.750000001319012,33.41116997185211,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
5m,15.350000000628942,13.200000001464167,29.060957318988724,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
6m,22.47444444443417,1.1666666684385743,42.696404979818915,imd_incidence,2022-04-30,2_past_ens,6m,2007-09-30,wis,2_past_ens
1m,4.113333333516998,3.0000000001934524,9.619573170901583,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
2m,2.6750000001611376,2.0000000001670735,9.275579268424242,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
3m,13.902222222328604,13.000000000114314,29.02245934968399,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
4m,12.611666666722842,7.375000000111015,25.966646341508973,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
5m,22.4920000000115,-6.499999999877774,44.46178658531117,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
6m,18.844444444410637,-5.583333333187511,38.69188262193708,imd_incidence,2022-04-30,2_past_ens,1m,2007-10-31,wis,2_past_ens
1m,4.113333340165468,3.0000000079415443,9.619573177304984,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
2m,2.6750000069801345,2.0000000075805637,9.275579273288304,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
3m,13.902222229323087,13.00000000770089,29.022459357582065,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
4m,12.611666670793262,7.375000007129341,25.966646345885067,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
5m,22.492000002939818,-6.499999994007743,44.461786588127545,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
6m,18.844444447087216,-5.583333328460113,38.69188262428794,imd_incidence,2022-04-30,2_past_ens,2m,2007-10-31,wis,2_past_ens
1m,13.5766666665793,13.999999999897213,23.675579268123613,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
2m,12.34333333319622,12.499999999845848,21.46219512171771,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
3m,23.73777777761084,23.66666666649539,43.59897865824005,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
4m,18.32749999990969,17.24999999983301,35.55397103635255,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
5m,26.5639999999208,1.7999999998869527,51.05729573151937,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
6m,22.504999999895187,1.1666666665981467,44.23705538601317,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
1m,13.576666666627531,13.999999999953957,23.67557926821694,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
2m,12.343333333271907,12.499999999930939,21.462195121846605,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
3m,23.737777777702984,23.666666666589933,43.59897865840374,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
4m,18.327499999959535,17.249999999925183,35.55397103648106,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
5m,26.563999999964516,1.7999999999493554,51.05729573162311,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
6m,22.50499999995304,1.1666666666359713,44.23705538610463,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
1m,13.576666666640897,13.999999999969681,23.675579268242807,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
2m,12.343333333292872,12.499999999954515,21.46219512188232,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
3m,23.73777777772851,23.666666666616123,43.598978658449084,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
4m,18.327499999973348,17.24999999995072,35.55397103651666,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
5m,26.563999999976623,1.799999999966643,51.05729573165184,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
6m,22.504999999969062,1.1666666666464518,44.23705538612997,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
1m,13.576666664009217,13.99999999687359,23.67557926314996,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
