eval_horizon,mae,error,wis,type,frsct_date,method
3m,8.55611111111111,8.083333333333334,16.83555155410859,imd_incidence,2007-09-30,equal_weights_ensemble
4m,16.905416666666667,16.46875,32.72041659296306,imd_incidence,2007-09-30,equal_weights_ensemble
5m,14.629833333333334,12.0,29.619114586590126,imd_incidence,2007-09-30,equal_weights_ensemble
6m,22.275694444444444,-0.14583333333333334,42.94574604612692,imd_incidence,2007-09-30,equal_weights_ensemble
1m,11.86355424163817,11.900220908304831,20.797500950113985,imd_incidence,2007-10-31,equal_weights_ensemble
2m,10.698006127335177,10.495922794001842,19.139781191126115,imd_incidence,2007-10-31,equal_weights_ensemble
3m,21.29889651535579,21.038340959800227,39.584054834252974,imd_incidence,2007-10-31,equal_weights_ensemble
4m,17.183736108938234,14.358983664095444,32.96751509963231,imd_incidence,2007-10-31,equal_weights_ensemble
5m,25.560177312485866,-0.42000149405892556,48.63741123181173,imd_incidence,2007-10-31,equal_weights_ensemble
6m,21.73425194923182,0.0249362771111592,42.52611230973605,imd_incidence,2007-10-31,equal_weights_ensemble
1m,0.798333333333332,0.5,8.694283931317681,imd_incidence,2007-11-30,equal_weights_ensemble
2m,18.688333333333333,18.5625,39.016489479574275,imd_incidence,2007-11-30,equal_weights_ensemble
3m,15.77083333333333,8.875,32.279822223627626,imd_incidence,2007-11-30,equal_weights_ensemble
4m,27.936666666666667,-9.53125,54.389401661946536,imd_incidence,2007-11-30,equal_weights_ensemble
5m,23.128,-8.425,46.273733564359716,imd_incidence,2007-11-30,equal_weights_ensemble
6m,21.426666666666666,-9.229166666666666,42.51192451247494,imd_incidence,2007-11-30,equal_weights_ensemble
1m,38.18464506790423,37.60381173457089,72.42226268437753,imd_incidence,2007-12-31,equal_weights_ensemble
2m,23.19488370561978,14.378928028951115,44.094515383120395,imd_incidence,2007-12-31,equal_weights_ensemble
3m,35.97829658485829,-11.112699872922143,68.21450482782157,imd_incidence,2007-12-31,equal_weights_ensemble
4m,27.181253024477552,-8.608513823858772,53.870809182821766,imd_incidence,2007-12-31,equal_weights_ensemble
5m,23.55536022158244,-8.70600219442075,46.48738644317063,imd_incidence,2007-12-31,equal_weights_ensemble
6m,22.00587613076348,-9.687661108128735,42.84981721945916,imd_incidence,2007-12-31,equal_weights_ensemble
1m,27.350833333333338,-27.75,51.411384616678,imd_incidence,2008-01-31,equal_weights_ensemble
2m,54.24958333333334,-54.5,104.32852496058952,imd_incidence,2008-01-31,equal_weights_ensemble
3m,42.82027777777778,-43.0,81.58444326797435,imd_incidence,2008-01-31,equal_weights_ensemble
4m,39.15104166666667,-39.375,74.1235240834378,imd_incidence,2008-01-31,equal_weights_ensemble
5m,37.80233333333334,-38.05,71.26698538072553,imd_incidence,2008-01-31,equal_weights_ensemble
6m,34.64680555555556,-34.875,64.95359767824858,imd_incidence,2008-01-31,equal_weights_ensemble
1m,79.12994942857223,-79.33994942857224,153.7117233321189,imd_incidence,2008-02-29,equal_weights_ensemble
2m,45.15999796493924,-45.60291463160591,87.91235176099879,imd_incidence,2008-02-29,equal_weights_ensemble
3m,38.7676318795584,-39.24457632400285,74.56093615771907,imd_incidence,2008-02-29,equal_weights_ensemble
4m,35.46125222152349,-35.87041888819016,66.85611612294262,imd_incidence,2008-02-29,equal_weights_ensemble
5m,31.66163555030917,-32.037468883642504,59.25295892540393,imd_incidence,2008-02-29,equal_weights_ensemble
6m,27.298513116268293,-27.64948533849051,52.50405313498011,imd_incidence,2008-02-29,equal_weights_ensemble
1m,9.02123963200135,-9.387906298668021,20.737442440178945,imd_incidence,2008-03-31,equal_weights_ensemble
2m,12.800822965334685,-13.137906298668021,25.20900954213528,imd_incidence,2008-03-31,equal_weights_ensemble
3m,15.357906298668018,-15.596239632001355,28.658082612056216,imd_incidence,2008-03-31,equal_weights_ensemble
4m,13.188114632001351,-13.419156298668021,26.32157499081289,imd_incidence,2008-03-31,equal_weights_ensemble
5m,10.766910445867477,-10.562906298668022,24.37150602568233,imd_incidence,2008-03-31,equal_weights_ensemble
6m,9.467493088000902,-9.346239632001355,23.162645448779863,imd_incidence,2008-03-31,equal_weights_ensemble
1m,15.049043657091708,-15.594876990425043,27.838961250064433,imd_incidence,2008-04-30,equal_weights_ensemble
2m,16.97029365709171,-17.344876990425043,30.422872392944285,imd_incidence,2008-04-30,equal_weights_ensemble
3m,12.927932545980596,-13.344876990425043,26.350154014108785,imd_incidence,2008-04-30,equal_weights_ensemble
4m,10.410146828545853,-9.282376990425043,24.09567634833112,imd_incidence,2008-04-30,equal_weights_ensemble
5m,8.365426194255024,-7.494876990425043,22.64357249067968,imd_incidence,2008-04-30,equal_weights_ensemble
6m,9.005236774586125,-4.240710323758376,23.304405180645567,imd_incidence,2008-04-30,equal_weights_ensemble
1m,18.61220432486528,-18.888870991531945,32.63371911948456,imd_incidence,2008-05-31,equal_weights_ensemble
2m,11.423037658198613,-11.763870991531945,25.12498229269947,imd_incidence,2008-05-31,equal_weights_ensemble
3m,8.800179219399539,-6.722204324865278,22.600356645772912,imd_incidence,2008-05-31,equal_weights_ensemble
4m,6.677083333333334,-5.013870991531945,21.172912323274055,imd_incidence,2008-05-31,equal_weights_ensemble
5m,7.908059135026944,-1.4888709915319454,22.408160020942724,imd_incidence,2008-05-31,equal_weights_ensemble
6m,7.872222222222223,-2.555537658198612,22.048561158701403,imd_incidence,2008-05-31,equal_weights_ensemble
1m,2.6433244587597287,-3.0708244587597306,17.45226546350236,imd_incidence,2008-06-30,equal_weights_ensemble
2m,4.022499999999997,1.1166755412402694,18.1448061074553,imd_incidence,2008-06-30,equal_weights_ensemble
3m,3.7477807359689757,1.7625088745736026,18.05669053414404,imd_incidence,2008-06-30,equal_weights_ensemble
4m,6.756046103953464,5.147925541240269,21.62736627200077,imd_incidence,2008-06-30,equal_weights_ensemble
5m,6.263335108248052,3.1791755412402694,20.98935656725445,imd_incidence,2008-06-30,equal_weights_ensemble
