eval_horizon,mae,error,wis,type,frsct_date,method
1m,71.796,71.6,,imd_incidence,2006-12-31,equal_weights_ensemble
2m,70.73766666666671,70.35000000000004,,imd_incidence,2006-12-31,equal_weights_ensemble
3m,76.48806349206356,76.01428571428578,,imd_incidence,2006-12-31,equal_weights_ensemble
4m,75.32947619047626,74.83214285714291,,imd_incidence,2006-12-31,equal_weights_ensemble
5m,72.72388571428579,72.21428571428577,,imd_incidence,2006-12-31,equal_weights_ensemble
6m,70.74263492063498,70.20952380952387,,imd_incidence,2006-12-31,equal_weights_ensemble
1m,10.82276190476189,-11.171428571428557,18.941296139265617,imd_incidence,2007-01-31,equal_weights_ensemble
2m,13.849312925170054,-14.248979591836719,24.193414690625367,imd_incidence,2007-01-31,equal_weights_ensemble
3m,18.632657596371867,-19.088435374149647,32.845206891726505,imd_incidence,2007-01-31,equal_weights_ensemble
4m,15.06486394557822,-15.526530612244885,27.86670072452005,imd_incidence,2007-01-31,equal_weights_ensemble
5m,12.302217687074819,-12.777551020408152,24.705855565913033,imd_incidence,2007-01-31,equal_weights_ensemble
6m,11.816433106575952,-12.327210884353732,23.697236034494665,imd_incidence,2007-01-31,equal_weights_ensemble
1m,11.063333333399143,-11.350000000065812,20.119115369585028,imd_incidence,2007-02-28,equal_weights_ensemble
2m,16.579166666731144,-16.862500000064482,28.9312333077447,imd_incidence,2007-02-28,equal_weights_ensemble
3m,11.543888888918238,-10.958333333389959,24.308934218267567,imd_incidence,2007-02-28,equal_weights_ensemble
4m,9.88000000001245,-7.08750000005203,22.657753086569915,imd_incidence,2007-02-28,equal_weights_ensemble
5m,8.464733333350585,-6.335000000048916,21.796144374659352,imd_incidence,2007-02-28,equal_weights_ensemble
6m,7.331944444463268,-5.604166666711876,21.244853373670523,imd_incidence,2007-02-28,equal_weights_ensemble
1m,20.85093693334391,-21.270270266677237,36.24664293524996,imd_incidence,2007-03-31,equal_weights_ensemble
2m,12.284207206574635,-8.92972972676927,25.012144869661277,imd_incidence,2007-03-31,equal_weights_ensemble
3m,10.866318318621959,-3.339639636940646,22.981467739797733,imd_incidence,2007-03-31,equal_weights_ensemble
4m,8.167328829575272,-2.597972970430014,21.336680311924557,imd_incidence,2007-03-31,equal_weights_ensemble
5m,6.922536937837728,-1.7778378354998352,20.601652851586827,imd_incidence,2007-03-31,equal_weights_ensemble
6m,6.190372373392932,-1.1788288266105944,20.356872254102388,imd_incidence,2007-03-31,equal_weights_ensemble
1m,9.063511731258238,8.540845064591572,17.56869069403588,imd_incidence,2007-04-30,equal_weights_ensemble
2m,11.251629102340395,10.84929576900706,21.47193556239276,imd_incidence,2007-04-30,equal_weights_ensemble
3m,9.65564631688578,9.289201872441334,20.75464114173965,imd_incidence,2007-04-30,equal_weights_ensemble
4m,9.321314548920208,8.924647882253542,21.030081418841593,imd_incidence,2007-04-30,equal_weights_ensemble
5m,9.286595300296732,8.863661966963399,21.635699268692555,imd_incidence,2007-04-30,equal_weights_ensemble
6m,10.078237866899862,9.621126755788751,23.14680984059745,imd_incidence,2007-04-30,equal_weights_ensemble
1m,5.85121739288698,5.265217392886974,12.694521551699733,imd_incidence,2007-05-31,equal_weights_ensemble
2m,3.2192608696020244,2.1869565232849553,12.452706702263626,imd_incidence,2007-05-31,equal_weights_ensemble
3m,2.7447826090882472,2.0072463782101977,12.79586927143164,imd_incidence,2007-05-31,equal_weights_ensemble
4m,2.8716739136323692,2.1815217404738316,13.455428607623634,imd_incidence,2007-05-31,equal_weights_ensemble
5m,3.9807130441996508,3.317391305672821,14.807880588664071,imd_incidence,2007-05-31,equal_weights_ensemble
6m,5.943318841518249,5.298550726079227,17.60144374039898,imd_incidence,2007-05-31,equal_weights_ensemble
1m,3.7068527122342516,-3.9441860455675766,10.630071497462673,imd_incidence,2007-06-30,equal_weights_ensemble
2m,2.3610310069345317,-2.640697673601192,10.863550242398563,imd_incidence,2007-06-30,equal_weights_ensemble
3m,1.8592351418195296,-1.6248062007598374,11.387518952171105,imd_incidence,2007-06-30,equal_weights_ensemble
4m,2.8887170542347818,0.19418604730025812,12.547275127781022,imd_incidence,2007-06-30,equal_weights_ensemble
5m,4.941330232788394,2.6683720939074407,15.23186181629605,imd_incidence,2007-06-30,equal_weights_ensemble
6m,5.280359173518048,3.315116280006142,15.95562051615432,imd_incidence,2007-06-30,equal_weights_ensemble
1m,1.4630243839787838,1.3390243839787814,9.77821975723962,imd_incidence,2007-07-31,equal_weights_ensemble
2m,2.3906585301114127,2.2036585301114116,11.129092521461795,imd_incidence,2007-07-31,equal_weights_ensemble
3m,4.720737120688483,4.534959342910703,13.854757218885625,imd_incidence,2007-07-31,equal_weights_ensemble
4m,7.942105683173306,7.752439016506637,18.695619087003802,imd_incidence,2007-07-31,equal_weights_ensemble
5m,8.72721299965129,8.47414633298462,20.04762186056697,imd_incidence,2007-07-31,equal_weights_ensemble
6m,14.361815709344278,14.049593487122054,30.49159375224662,imd_incidence,2007-07-31,equal_weights_ensemble
1m,2.796666656660129,2.5333333233268007,10.358901841448834,imd_incidence,2007-08-31,equal_weights_ensemble
2m,5.959666656347423,5.699999989680759,14.1462824325346,imd_incidence,2007-08-31,equal_weights_ensemble
3m,10.33511109849871,10.02222220960982,21.171315568031535,imd_incidence,2007-08-31,equal_weights_ensemble
4m,11.105166653142213,10.833333319808878,22.56082716019594,imd_incidence,2007-08-31,equal_weights_ensemble
5m,17.583733321702063,17.3066666550354,34.837347433885604,imd_incidence,2007-08-31,equal_weights_ensemble
6m,14.732444437305467,14.316666654420194,32.3826028023317,imd_incidence,2007-08-31,equal_weights_ensemble
1m,6.86416666512504,6.887499998458367,13.620115740670796,imd_incidence,2007-09-30,equal_weights_ensemble
2m,11.687208331315613,11.496874997982278,21.727322322777212,imd_incidence,2007-09-30,equal_weights_ensemble
3m,11.515138886757812,11.256249997868922,21.822981022214112,imd_incidence,2007-09-30,equal_weights_ensemble
4m,19.24560416378817,18.985937497121505,36.741096365052826,imd_incidence,2007-09-30,equal_weights_ensemble
5m,15.785999998141557,14.697499997252848,32.875735007691226,imd_incidence,2007-09-30,equal_weights_ensemble
6m,22.235527776667386,3.1041666639390635,43.16296887269384,imd_incidence,2007-09-30,equal_weights_ensemble
1m,14.633510057309522,14.520176723976185,25.929640022668266,imd_incidence,2007-10-31,equal_weights_ensemble
2m,13.085404899273215,12.946738232606545,23.405408343980763,imd_incidence,2007-10-31,equal_weights_ensemble
3m,22.55645054397154,22.33067276619376,41.940708859192604,imd_incidence,2007-10-31,equal_weights_ensemble
4m,17.685655553176602,15.937186929447375,34.84165831676002,imd_incidence,2007-10-31,equal_weights_ensemble
5m,25.34854185003881,1.5639988027270362,48.42162365501467,imd_incidence,2007-10-31,equal_weights_ensemble
6m,22.440623781091656,2.569949019442953,43.665430158593075,imd_incidence,2007-10-31,equal_weights_ensemble
1m,0.591272728038092,-0.527272728038092,8.559182471512722,imd_incidence,2007-11-30,equal_weights_ensemble
2m,16.891939394306398,16.24999999960164,35.87494534220018,imd_incidence,2007-11-30,equal_weights_ensemble
3m,15.234363636848707,6.748484847978872,31.020575709966412,imd_incidence,2007-11-30,equal_weights_ensemble
4m,27.72212121232489,-11.23181818203754,53.38721710055453,imd_incidence,2007-11-30,equal_weights_ensemble
5m,22.86064242470306,-9.720000000473178,45.94259517797787,imd_incidence,2007-11-30,equal_weights_ensemble
6m,21.587191919695425,-10.687878788392746,42.75409039058813,imd_incidence,2007-11-30,equal_weights_ensemble
1m,35.33320323130393,35.02920323130393,67.09770202716734,imd_incidence,2007-12-31,equal_weights_ensemble
2m,22.36557363135801,12.674296266612586,42.44007499895928,imd_incidence,2007-12-31,equal_weights_ensemble
3m,35.526073166596184,-12.240159901282453,66.69634936004728,imd_incidence,2007-12-31,equal_weights_ensemble
4m,26.759812456542026,-9.127195677700287,53.59657739110278,imd_incidence,2007-12-31,equal_weights_ensemble
5m,23.711223386806036,-9.613263297065979,47.114820720666884,imd_incidence,2007-12-31,equal_weights_ensemble
6m,22.598796485575097,-10.827051966347272,44.097679381951835,imd_incidence,2007-12-31,equal_weights_ensemble
1m,31.025777777804166,-31.327777777804165,58.831163582226,imd_incidence,2008-01-31,equal_weights_ensemble
2m,57.99244444447326,-58.30277777780658,111.59783279668538,imd_incidence,2008-01-31,equal_weights_ensemble
3m,46.65518518521677,-47.007407407439,88.65285042621552,imd_incidence,2008-01-31,equal_weights_ensemble
4m,43.05527777780699,-43.37361111114032,81.09580243522882,imd_incidence,2008-01-31,equal_weights_ensemble
5m,41.72977777780513,-42.01777777780514,78.1073048475751,imd_incidence,2008-01-31,equal_weights_ensemble
6m,38.569518518545266,-38.84074074076749,72.04316170368973,imd_incidence,2008-01-31,equal_weights_ensemble
1m,82.54773490916976,-82.94240157583643,160.18151623018798,imd_incidence,2008-02-29,equal_weights_ensemble
2m,45.11548024254159,-45.399813575874916,93.70826158526133,imd_incidence,2008-02-29,equal_weights_ensemble
3m,39.82739212690444,-40.06050323801555,80.26320399119935,imd_incidence,2008-02-29,equal_weights_ensemble
4m,36.50554780607956,-36.70071447274623,71.92368576947334,imd_incidence,2008-02-29,equal_weights_ensemble
5m,33.08451197109172,-33.321311971091724,64.2648022446921,imd_incidence,2008-02-29,equal_weights_ensemble
6m,28.703201243912435,-28.9138679105791,58.089103780144974,imd_incidence,2008-02-29,equal_weights_ensemble
1m,5.245760027876223,-5.485760027876225,31.38898947740976,imd_incidence,2008-03-31,equal_weights_ensemble
2m,11.068976117076437,-11.16030945040977,32.868079385414525,imd_incidence,2008-03-31,equal_weights_ensemble
3m,14.488957615622558,-14.582735393400336,34.99999377539511,imd_incidence,2008-03-31,equal_weights_ensemble
4m,12.532463020412258,-12.659629687078926,32.84655267750239,imd_incidence,2008-03-31,equal_weights_ensemble
5m,10.10789555475257,-10.104311944573713,30.989995323839988,imd_incidence,2008-03-31,equal_weights_ensemble
6m,8.961450141654208,-9.008797133171827,29.79088054104881,imd_incidence,2008-03-31,equal_weights_ensemble
1m,17.15580387125523,-17.2944705379219,33.818762440777775,imd_incidence,2008-04-30,equal_weights_ensemble
2m,19.27224766252766,-19.48624766252766,36.369981363127515,imd_incidence,2008-04-30,equal_weights_ensemble
3m,15.003322280911748,-15.143100058689527,32.65119916810438,imd_incidence,2008-04-30,equal_weights_ensemble
4m,11.48173526896095,-11.167414819073342,30.128353374090246,imd_incidence,2008-04-30,equal_weights_ensemble
5m,9.707437747674295,-9.491181387764206,28.62634310861285,imd_incidence,2008-04-30,equal_weights_ensemble
6m,9.6545830440549,-6.395266235477184,28.209246425845432,imd_incidence,2008-04-30,equal_weights_ensemble
1m,20.08530372868118,-20.15930372868118,36.834393240365344,imd_incidence,2008-05-31,equal_weights_ensemble
2m,12.429467447800848,-12.634134114467521,30.67340206214084,imd_incidence,2008-05-31,equal_weights_ensemble
3m,9.209258850177408,-7.592475524668171,28.154236738983883,imd_incidence,2008-05-31,equal_weights_ensemble
4m,7.0507458392014,-5.859158345069472,26.724963097052633,imd_incidence,2008-05-31,equal_weights_ensemble
5m,7.97217351556921,-2.389216498514154,27.152176616932866,imd_incidence,2008-05-31,equal_weights_ensemble
6m,8.239529533603536,-3.6259542416132113,26.755643349025938,imd_incidence,2008-05-31,equal_weights_ensemble
1m,2.7789355670910183,-2.9196022337576863,24.213656154290913,imd_incidence,2008-06-30,equal_weights_ensemble
2m,3.803224666670449,0.8696224329127631,24.062075329123566,imd_incidence,2008-06-30,equal_weights_ensemble
3m,3.0510806998642224,1.0809014329146553,23.721068272662567,imd_incidence,2008-06-30,equal_weights_ensemble
4m,5.728440799796809,4.2423063495846325,25.88334824332806,imd_incidence,2008-06-30,equal_weights_ensemble
5m,5.997091886583687,1.9748391662547988,25.338945440393967,imd_incidence,2008-06-30,equal_weights_ensemble
6m,6.491005810974072,3.126017432922223,25.509763427841623,imd_incidence,2008-06-30,equal_weights_ensemble
1m,4.752985678356737,4.518319011690075,23.407085136494537,imd_incidence,2008-07-31,equal_weights_ensemble
2m,3.327191363144472,3.1401913631444742,22.97070656844106,imd_incidence,2008-07-31,equal_weights_ensemble
3m,6.984389985143946,6.82038998514395,26.162648201047045,imd_incidence,2008-07-31,equal_weights_ensemble
4m,6.780850978663429,3.554233999052494,25.233430916467732,imd_incidence,2008-07-31,equal_weights_ensemble
5m,7.45075595484423,4.830795704488814,25.568742016917074,imd_incidence,2008-07-31,equal_weights_ensemble
6m,6.251579255447997,3.996390157929596,23.640875204716078,imd_incidence,2008-07-31,equal_weights_ensemble
1m,0.433191176331178,0.18452450966451295,21.21164047455238,imd_incidence,2008-08-31,equal_weights_ensemble
2m,6.779684653301395,6.6946846533013975,25.658122257274183,imd_incidence,2008-08-31,equal_weights_ensemble
3m,6.968311648837388,1.923490111120029,24.543644720703085,imd_incidence,2008-08-31,equal_weights_ensemble
4m,7.6402622548322565,3.7828127682109027,24.85395856659107,imd_incidence,2008-08-31,equal_weights_ensemble
5m,6.1216180652767775,2.998041953157751,22.55986993858405,imd_incidence,2008-08-31,equal_weights_ensemble
6m,5.877679712726233,1.7037036359692077,22.81671745808445,imd_incidence,2008-08-31,equal_weights_ensemble
1m,12.516807879128443,12.248141212461775,28.79880418076218,imd_incidence,2008-09-30,equal_weights_ensemble
