date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,3.826666666752888,3.000000000087867,3.0000000000878657,3.000000000087868,3.000000000087865,4.000000000087862,3.0000000000702935,4.000000000087864,3.000000000070292,4.000000000087865,3.0000000000702913,4.00000000010324,2.0000000000878675,4.000000000105438,2.000000000087866,5.000000000087862,2.0000000000878653,5.000000000087864,2.0000000000878644,5.000000000105436,2.000000000070293,5.000000000105438,2.000000000070292,5.725000000092691,1.000000000087868,6.000000000105436,1.0000000000760072,6.000000000105438,1.0000000000702958,6.000000000105441,1.0000000000702944,7.000000000105438,1.000000000070293,7.000000000123013,1.0000000000527216,8.000000000123011,7.029681213315222e-11,10.000000000087866,5.272432003846715e-11,10.525000000105422,3.5152375150032543e-11,14.000000000070298
2020-10-31,3.5833333334285813,3.000000000105443,3.0000000000883107,3.0000000001054445,2.000000000105447,3.000000000105446,2.000000000105446,4.00000000010544,2.000000000105445,4.000000000105442,2.0000000001054437,4.000000000105444,2.0000000000878724,4.000000000105445,2.000000000087871,5.000000000102365,2.0000000000878697,5.000000000105442,2.000000000087869,5.0000000001054445,1.0000000000878744,5.000000000105446,1.000000000087873,6.00000000010061,1.000000000087872,6.000000000105445,1.0000000000878706,6.000000000105448,1.000000000070299,7.0000000001054445,8.787471045262535e-11,7.000000000105449,8.787316468610451e-11,7.000000000123024,7.03013174562764e-11,8.000000000105455,7.029926512526719e-11,9.000000000105457,5.272638450931473e-11,11.000000000097115,4.8112105796506225e-11,12.000000000123041
2020-11-30,3.4166666667655523,3.0000000001054485,3.0000000001054468,3.00000000010545,3.000000000087875,3.0000000001054516,2.0000000001054508,4.000000000105446,2.0000000001054494,4.000000000105448,2.000000000105448,4.00000000010545,2.0000000001054468,4.000000000105452,2.000000000087875,4.000000000105454,2.0000000000878737,5.000000000087879,1.0000000000918328,5.000000000105452,1.0000000000878781,5.000000000105454,1.0000000000878766,5.000000000123027,1.0000000000878753,6.000000000105453,1.0000000000703038,6.000000000123027,8.787920674843837e-11,7.000000000105454,8.787759685934135e-11,7.000000000105459,8.787585455620092e-11,7.000000000123035,7.030378828547924e-11,7.000000000133146,7.030147763431037e-11,9.000000000106349,5.272825195740334e-11,10.000000000123054,4.8113710686995224e-11,12.000000000097144
2020-12-31,2.8566666667759275,2.00000000012303,2.0000000001230283,3.0000000001054548,2.0000000001054565,3.0000000001054565,2.000000000105455,3.0000000001230287,2.0000000001054534,3.0000000001230305,2.000000000105452,3.0000000001230327,2.0000000000878804,3.000000000123035,1.0000000001054559,3.000000000140607,1.0000000001054545,4.000000000123032,1.000000000105453,4.000000000123035,1.0000000000878815,4.0000000001230385,1.00000000008788,4.000000000135779,1.0000000000878784,5.000000000123038,1.0000000000878766,5.000000000123042,1.0545207238772268e-10,5.000000000140616,8.788018762967411e-11,6.000000000123045,8.787827452169977e-11,6.000000000124809,7.030601745429702e-11,7.000000000123053,7.030348111545017e-11,8.000000000123936,5.272995269900128e-11,9.000000000140643,5.272733557218776e-11,10.262500000123076
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
