,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2014,Lyme disease cummulative for 2013,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2014,Malaria cummulative for 2013,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2014","Meningococcal diseases, invasive �, All groups cummulative for 2013"
22,2014,2,UNITED STATES,16,337,"2,162",47,443,8,24,49,17,28,4,9,21,15,28
23,2014,2,NEW ENGLAND,0,116,878,0,119,0,2,8,1,3,0,0,3,0,2
24,2014,2,Conn.,0,24,245,0,44,0,0,0,0,0,0,0,1,0,0
25,2014,2,Maine,0,14,99,0,4,0,0,2,1,0,0,0,1,0,0
26,2014,2,Mass.,0,37,437,0,57,0,1,4,0,2,0,0,3,0,2
27,2014,2,N.H.,0,6,91,0,9,0,0,2,0,1,0,0,1,0,0
28,2014,2,R.I.,0,9,54,0,0,0,0,8,0,0,0,0,1,0,0
29,2014,2,Vt.,0,8,92,0,5,0,0,3,0,0,0,0,1,0,0
30,2014,2,MID. ATLANTIC,14,172,"1,004",40,223,0,8,21,1,4,0,1,7,0,2
31,2014,2,N.J.,0,48,224,0,102,0,1,5,0,0,0,0,2,0,1
32,2014,2,N.Y. (Upstate),4,46,257,4,5,0,1,5,0,1,0,0,3,0,0
33,2014,2,N.Y. City,0,1,39,0,0,0,4,13,1,3,0,0,2,0,1
34,2014,2,Pa.,10,80,540,36,116,0,1,5,0,0,0,0,3,0,0
35,2014,2,E.N. CENTRAL,1,16,217,2,10,2,2,8,3,3,0,0,4,0,2
36,2014,2,Ill.,0,2,30,0,1,0,1,5,0,1,0,0,2,0,1
37,2014,2,Ind.,0,1,13,0,0,0,0,2,0,0,0,0,1,0,1
38,2014,2,Mich.,1,2,15,2,0,1,0,2,1,1,0,0,1,0,0
39,2014,2,Ohio,0,1,7,0,1,1,0,3,2,1,0,0,2,0,0
40,2014,2,Wis.,0,12,177,0,8,0,0,3,0,0,0,0,1,0,0
41,2014,2,W.N. CENTRAL,0,3,31,0,0,0,0,3,3,3,0,0,3,1,4
42,2014,2,Iowa,0,2,27,0,0,0,0,2,0,0,0,0,1,0,0
43,2014,2,Kans.,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
44,2014,2,Minn.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
45,2014,2,Mo.,0,0,3,0,0,0,0,1,1,1,0,0,2,1,1
46,2014,2,Nebr.,0,0,2,0,0,0,0,2,1,1,0,0,1,0,0
47,2014,2,N. Dak.,0,0,5,0,0,0,0,1,1,1,0,0,1,0,0
48,2014,2,S. Dak.,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0
49,2014,2,S. ATLANTIC,1,36,116,4,86,0,5,16,3,6,1,2,6,6,6
50,2014,2,Del.,0,7,23,0,13,0,0,1,0,0,0,0,1,0,0
51,2014,2,D.C.,N,0,0,N,N,0,0,2,0,1,0,0,1,0,0
52,2014,2,Fla.,0,2,14,1,2,0,1,3,1,1,0,1,3,3,3
53,2014,2,Ga.,0,0,4,0,0,0,1,5,0,0,0,0,2,0,1
54,2014,2,Md.,0,19,68,1,70,0,2,10,2,4,0,0,1,0,0
55,2014,2,N.C.,0,0,32,0,0,0,0,6,0,0,0,0,2,2,2
56,2014,2,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
57,2014,2,Va.,0,2,80,0,1,0,0,4,0,0,1,0,1,1,0
58,2014,2,W. Va.,1,2,19,2,0,0,0,1,0,0,0,0,1,0,0
59,2014,2,E.S. CENTRAL,0,1,9,1,1,1,0,4,1,3,0,0,2,1,2
60,2014,2,Ala.,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0
61,2014,2,Ky.,0,0,9,1,0,0,0,2,0,2,0,0,1,0,0
62,2014,2,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
63,2014,2,Tenn.,0,0,3,0,0,1,0,3,1,1,0,0,1,1,0
64,2014,2,W.S. CENTRAL,0,1,5,0,0,0,1,7,0,1,0,1,3,1,0
65,2014,2,Ark.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,2014,2,La.,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
67,2014,2,Okla.,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0
68,2014,2,Tex.,0,1,5,0,0,0,1,5,0,0,0,0,3,0,0
69,2014,2,MOUNTAIN,0,2,9,0,0,0,1,6,0,3,0,0,4,0,0
70,2014,2,Ariz.,0,0,3,0,0,0,0,3,0,2,0,0,3,0,0
71,2014,2,Colo.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
72,2014,2,Idaho,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0
73,2014,2,Mont.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
74,2014,2,Nev.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
75,2014,2,N. Mex.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
76,2014,2,Utah,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
77,2014,2,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2014,2,PACIFIC,0,2,8,0,4,5,2,8,5,2,3,2,8,6,10
79,2014,2,Alaska,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0
80,2014,2,Calif.,0,1,6,0,2,5,1,7,5,2,0,2,7,1,9
81,2014,2,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2014,2,Oreg.,0,1,3,0,1,0,0,1,0,0,3,0,2,5,1
83,2014,2,Wash.,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0
84,2014,2,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2014,2,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2014,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2014,2,P.R.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
88,2014,2,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2014,3,UNITED STATES,21,341,"2,168",105,658,8,24,48,30,52,2,9,21,18,47
23,2014,3,NEW ENGLAND,0,118,878,3,206,0,2,8,1,6,0,0,3,0,3
24,2014,3,Conn.,0,29,246,1,83,0,0,0,0,0,0,0,1,0,1
25,2014,3,Maine,0,15,99,0,11,0,0,2,1,0,0,0,1,0,0
26,2014,3,Mass.,0,36,437,2,84,0,1,4,0,4,0,0,3,0,2
27,2014,3,N.H.,0,6,91,0,20,0,0,2,0,2,0,0,1,0,0
28,2014,3,R.I.,0,9,54,0,1,0,0,8,0,0,0,0,1,0,0
29,2014,3,Vt.,0,8,92,0,7,0,0,3,0,0,0,0,1,0,0
30,2014,3,MID. ATLANTIC,17,171,"1,004",80,310,3,8,21,9,9,0,1,7,0,4
31,2014,3,N.J.,0,46,224,3,138,0,1,5,0,1,0,0,2,0,2
32,2014,3,N.Y. (Upstate),10,46,257,14,9,1,1,5,1,1,0,0,3,0,1
33,2014,3,N.Y. City,0,1,39,0,1,0,4,13,6,7,0,0,2,0,1
34,2014,3,Pa.,7,77,540,63,162,2,1,5,2,0,0,0,3,0,0
35,2014,3,E.N. CENTRAL,0,16,219,2,17,1,2,8,4,8,0,0,4,0,3
36,2014,3,Ill.,0,2,30,0,1,0,1,5,0,4,0,0,2,0,1
37,2014,3,Ind.,0,1,13,0,0,0,0,2,0,0,0,0,1,0,2
38,2014,3,Mich.,0,2,15,2,2,0,0,2,1,2,0,0,1,0,0
39,2014,3,Ohio,0,1,7,0,1,1,0,3,3,1,0,0,2,0,0
40,2014,3,Wis.,0,12,179,0,13,0,0,3,0,1,0,0,1,0,0
41,2014,3,W.N. CENTRAL,1,3,31,1,0,0,0,3,3,3,0,0,3,1,6
42,2014,3,Iowa,0,2,27,0,0,0,0,2,0,0,0,0,1,0,0
43,2014,3,Kans.,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
44,2014,3,Minn.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
45,2014,3,Mo.,0,0,3,0,0,0,0,1,1,1,0,0,2,1,2
46,2014,3,Nebr.,1,0,2,1,0,0,0,2,1,1,0,0,1,0,0
47,2014,3,N. Dak.,0,0,5,0,0,0,0,1,1,1,0,0,1,0,0
48,2014,3,S. Dak.,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1
49,2014,3,S. ATLANTIC,3,36,124,18,117,4,5,16,7,16,1,1,6,7,9
50,2014,3,Del.,1,7,23,8,17,0,0,1,0,0,0,0,1,0,0
51,2014,3,D.C.,N,0,0,N,N,0,0,2,0,1,0,0,1,0,0
52,2014,3,Fla.,2,2,14,3,4,1,1,3,2,4,0,1,3,3,4
53,2014,3,Ga.,0,0,4,0,0,0,1,5,0,3,0,0,2,0,1
54,2014,3,Md.,0,18,76,5,93,2,2,10,4,8,1,0,1,1,0
55,2014,3,N.C.,0,0,32,0,0,0,0,6,0,0,0,0,2,2,3
56,2014,3,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
57,2014,3,Va.,0,2,90,0,1,1,0,4,1,0,0,0,1,1,0
58,2014,3,W. Va.,0,2,19,2,2,0,0,1,0,0,0,0,1,0,1
59,2014,3,E.S. CENTRAL,0,1,9,1,3,0,1,4,2,3,0,0,2,1,3
60,2014,3,Ala.,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0
61,2014,3,Ky.,0,0,9,1,1,0,0,1,0,2,0,0,1,0,1
62,2014,3,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
63,2014,3,Tenn.,0,0,3,0,1,0,0,3,2,1,0,0,1,1,0
64,2014,3,W.S. CENTRAL,0,1,5,0,0,0,1,7,0,1,0,1,3,1,0
