date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,4.1800000000902084,4.000000000070475,4.000000000070475,4.000000000070475,4.000000000070475,4.000000000070475,3.000000000070475,4.00000000014095,3.000000000070475,5.000000000070475,3.000000000070475,5.000000000070475,3.000000000070475,5.00000000014095,3.000000000070475,5.00000000014095,2.9999999999999996,5.00000000014095,2.9999999999999996,5.00000000014095,2.750000000017619,5.00000000014095,2.000000000070475,6.00000000014095,2.000000000070475,6.00000000014095,1.9999999999999998,6.6750000000933625,1.9999999999999998,7.00000000014095,1.9999999999999998,7.000000000184998,1.000000000063428,7.000000000211426,0.9999999999999999,8.000000000211426,0.9999999999999999,8.000000000211426,0.4750000000370001,9.000000000211426,7.047561082069882e-11,10.000000000211426
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
