,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2017-02-28,10.583333333333334,10.0,3.2421330908552006,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,12.0,9.0,12.0,9.0,12.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,14.0,7.850000000000001,14.0,7.0,14.625,7.0,15.0,6.0,16.0,6.0,16.05000000000001,4.0,17.0,3.7375000000000003,18.0,forecast,2017-01-31,0
1,2017-03-31,10.516666666666667,10.0,3.3686120851407164,10.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,11.0,9.0,12.0,9.0,12.0,8.0,12.0,8.0,13.0,8.0,13.0,8.0,13.0,7.800000000000004,13.0,7.0,14.0,7.0,14.0,7.0,14.0,6.0,14.100000000000023,6.0,15.0,6.0,16.0,5.0,18.0,4.0,20.0,forecast,2017-01-31,0
2,2017-04-30,11.11,11.0,3.6572967336536006,11.0,11.0,10.0,11.0,10.0,12.0,10.0,12.0,10.0,12.0,10.0,12.0,9.0,12.825000000000017,9.0,13.0,8.225000000000009,13.0,8.0,14.0,8.0,14.0,8.0,14.0,8.0,15.0,7.0,15.0,7.0,15.0,7.0,16.0,6.0,16.57499999999999,6.0,18.0,5.0,18.0,4.0,20.0,forecast,2017-01-31,0
3,2017-05-31,11.433333333333334,11.0,3.586329798969805,11.0,12.0,11.0,12.0,11.0,12.0,10.0,12.0,10.0,13.0,10.0,13.0,10.0,13.0,9.0,13.0,9.0,13.0,9.0,13.0,9.0,14.0,8.0,14.0,8.0,15.0,8.0,15.0,7.0,15.0,7.0,16.0,6.0,16.0,6.0,17.05000000000001,5.4750000000000005,19.0,5.0,20.524999999999977,forecast,2017-01-31,0
4,2017-06-30,11.506666666666666,11.0,3.3537213727004724,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,10.0,12.0,10.0,13.0,10.0,13.0,10.0,13.0,9.0,13.0,9.0,14.0,9.0,14.0,9.0,14.0,8.0,15.0,8.0,15.0,7.0,16.0,7.0,16.0,6.0,17.0,5.0,19.0,4.0,20.26249999999999,forecast,2017-01-31,0
5,2017-07-31,11.676666666666666,11.5,3.6021345709332695,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,10.0,13.0,10.0,13.0,10.0,13.825000000000017,10.0,14.0,9.225000000000009,14.0,9.0,14.0,9.0,15.0,8.800000000000004,15.0,8.0,15.0,8.0,16.0,7.375,16.0,7.0,16.0,7.0,17.0,6.0,17.0,5.0,18.0,4.737500000000001,20.0,forecast,2017-01-31,0
6,2017-08-31,11.476666666666667,11.0,3.4923886022873845,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,10.0,12.0,10.0,13.0,10.0,13.0,9.0,13.0,9.0,13.0,9.0,14.0,9.0,14.0,9.0,14.0,8.0,14.0,8.0,15.0,8.0,15.0,7.0,16.0,7.0,16.0,6.0,17.0,5.4750000000000005,18.524999999999977,4.737500000000001,22.0,forecast,2017-01-31,0
