,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2009-11-30,27.78,27.0,5.879924464284009,27.0,28.0,27.0,28.0,27.0,28.0,26.0,29.0,26.0,29.0,26.0,30.0,25.0,30.0,25.0,31.0,25.0,31.0,24.0,31.0,23.0,31.724999999999994,23.0,32.0,22.0,33.0,22.0,34.0,21.0,34.0,20.0,36.0,19.425,37.0,19.0,38.0,17.0,41.0,15.0,42.26249999999999,forecast,2009-10-31,0
1,2009-12-31,28.303333333333335,27.0,5.803181190403334,27.0,28.0,27.0,28.0,27.0,29.0,26.0,29.0,26.0,30.0,25.0,30.349999999999994,25.0,31.0,25.0,31.0,25.0,32.0,24.0,32.25,24.0,33.0,23.0,33.0,23.0,34.0,22.85,35.0,22.0,35.625,21.0,36.0,21.0,37.0,20.0,38.0,18.0,41.0,16.7375,42.0,forecast,2009-10-31,0
2,2010-01-31,29.256666666666668,29.0,6.199912791129751,29.0,29.0,28.0,30.0,28.0,30.0,28.0,30.0,27.0,31.0,27.0,31.0,26.0,31.0,26.0,32.0,26.0,33.0,25.0,33.0,25.0,33.0,24.0,34.0,24.0,35.0,23.0,35.0,22.0,36.0,21.0,37.10000000000002,20.425,38.0,20.0,40.0,18.0,44.0,17.0,45.26249999999999,forecast,2009-10-31,0
3,2010-02-28,30.18,30.0,6.239983277569568,29.0,30.0,29.0,31.0,29.0,31.0,28.0,31.0,28.0,32.0,28.0,32.0,27.0,32.82500000000002,27.0,33.0,27.0,33.0,26.0,34.0,25.0,35.0,24.0,36.0,24.0,36.0,24.0,37.0,23.0,37.0,22.900000000000002,38.10000000000002,21.425,40.0,20.0,41.0,19.0,43.52499999999998,18.0,44.26249999999999,forecast,2009-10-31,0
4,2010-03-31,31.44,31.0,6.202793631052984,31.0,31.0,31.0,32.0,30.0,32.0,29.60000000000001,33.0,29.0,33.0,29.0,34.0,28.0,34.0,28.0,34.0,28.0,35.0,27.0,35.0,26.275000000000006,36.0,26.0,36.0,26.0,37.0,25.0,38.0,25.0,38.0,24.0,40.0,23.0,41.0,22.0,42.05000000000001,21.0,44.0,19.7375,47.26249999999999,forecast,2009-10-31,0
5,2010-04-30,31.226666666666667,31.0,6.8301384705812,31.0,32.0,30.55000000000001,32.0,30.0,32.0,29.0,33.0,29.0,33.0,28.0,34.0,28.0,34.0,27.0,35.0,27.0,35.0,27.0,36.0,26.0,36.0,26.0,37.0,25.0,38.0,24.0,39.0,23.375,39.0,22.0,40.0,21.425,41.57499999999999,20.0,43.0,18.0,44.52499999999998,17.0,46.0,forecast,2009-10-31,0
6,2010-05-31,31.39,31.0,6.384389930338583,31.0,31.0,30.0,32.0,30.0,32.0,29.0,33.0,29.0,33.0,29.0,33.0,28.174999999999997,34.0,28.0,35.0,28.0,35.0,27.0,35.0,27.0,36.0,26.0,37.0,25.0,37.0,25.0,38.0,24.0,38.625,23.0,39.0,22.0,41.0,22.0,42.05000000000001,20.0,45.52499999999998,20.0,48.0,forecast,2009-10-31,0
