,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2014-05-31,17.85333333333333,17.0,4.292618953563259,17.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,16.0,19.0,16.0,19.0,16.0,19.0,16.0,20.0,15.0,20.0,15.0,20.25,15.0,21.0,14.0,21.0,14.0,22.0,13.850000000000001,22.0,13.0,23.0,13.0,23.0,12.0,24.0,11.0,25.0,10.0,27.0,9.7375,29.26249999999999,estimate,2014-04-30,0
1,2014-06-30,18.42,19.0,4.806308563407988,18.0,19.0,18.0,19.0,17.0,19.0,17.0,19.0,17.0,20.0,16.64999999999999,20.0,16.0,20.0,16.0,21.0,16.0,21.0,15.0,21.0,15.0,22.0,14.0,22.0,14.0,23.0,13.0,23.0,13.0,24.0,12.0,25.0,11.425,26.0,10.950000000000001,27.05000000000001,9.0,28.0,8.0,29.0,estimate,2014-04-30,0
2,2014-07-31,18.216666666666665,18.0,4.361168213085991,18.0,18.0,17.0,18.450000000000017,17.0,19.0,17.0,19.0,17.0,19.0,16.0,20.0,16.0,20.0,16.0,20.0,16.0,21.0,15.0,21.0,15.0,22.0,15.0,22.0,14.0,23.0,14.0,23.0,13.0,23.0,13.0,24.0,12.0,25.0,11.0,25.05000000000001,9.0,26.524999999999977,9.0,28.0,estimate,2014-04-30,0
3,2014-08-31,18.336666666666666,18.0,4.91703634080648,18.0,18.0,18.0,19.0,17.0,19.0,17.0,19.400000000000006,16.0,20.0,16.0,20.0,16.0,20.0,15.0,21.0,15.0,21.0,15.0,22.0,14.0,22.0,14.0,22.0,14.0,23.0,13.0,24.0,13.0,24.0,12.0,25.0,11.0,26.0,11.0,27.0,10.0,29.0,9.0,30.26249999999999,estimate,2014-04-30,0
4,2014-09-30,18.03,18.0,4.543630920288237,18.0,18.0,18.0,19.0,17.0,19.0,17.0,19.0,16.0,19.0,16.0,20.0,16.0,20.0,15.700000000000003,20.0,15.0,21.0,15.0,21.0,14.0,21.0,14.0,22.0,14.0,22.0,13.0,23.0,13.0,23.0,12.0,23.0,11.0,24.0,11.0,25.0,10.0,28.0,10.0,29.0,estimate,2014-04-30,0
5,2014-10-31,18.336666666666666,18.0,5.044615881000758,17.0,18.0,17.0,19.0,17.0,19.0,17.0,19.0,16.0,19.0,16.0,20.0,16.0,20.0,15.0,20.0,15.0,21.0,15.0,21.0,14.0,22.0,14.0,22.0,14.0,22.0,13.0,23.0,13.0,24.0,13.0,25.0,12.0,26.57499999999999,11.0,28.05000000000001,10.0,30.524999999999977,10.0,32.0,estimate,2014-04-30,0
6,2014-11-30,18.093333333333334,18.0,4.91784909160991,18.0,18.0,17.0,18.0,17.0,19.0,17.0,19.0,16.0,19.0,16.0,20.0,16.0,20.0,15.0,21.0,15.0,21.0,15.0,21.25,14.0,22.0,14.0,22.0,13.324999999999996,22.674999999999983,13.0,23.0,13.0,23.0,12.0,25.0,11.0,25.0,11.0,27.0,9.475000000000001,27.0,9.0,28.524999999999977,estimate,2014-04-30,0
7,2014-12-31,18.34,18.0,4.923943276613206,18.0,18.0,17.0,18.0,17.0,19.0,17.0,19.0,16.125,19.875,16.0,20.0,16.0,20.0,15.0,20.0,15.0,21.0,15.0,21.25,14.0,22.0,14.0,22.200000000000017,14.0,23.0,13.0,24.0,13.0,24.0,13.0,25.0,12.0,25.57499999999999,11.0,27.0,10.0,29.524999999999977,10.0,30.26249999999999,estimate,2014-04-30,0
8,2015-01-31,18.463333333333335,18.0,5.361386990050163,18.0,18.0,18.0,19.0,17.0,19.0,17.0,19.0,17.0,20.0,17.0,20.0,16.0,20.0,16.0,21.0,15.0,21.0,15.0,21.0,15.0,22.0,14.0,22.0,14.0,22.0,13.0,23.0,13.0,24.0,12.0,25.0,11.425,26.0,10.0,27.05000000000001,9.0,31.0,7.737500000000001,34.0,estimate,2014-04-30,0
9,2015-02-28,19.02,18.5,5.170627100786187,18.0,19.0,18.0,19.0,18.0,19.0,17.0,20.0,17.0,20.0,17.0,21.0,17.0,21.0,16.0,21.299999999999983,16.0,22.0,15.0,22.0,15.0,23.0,15.0,23.0,14.324999999999996,24.0,14.0,25.0,13.0,25.0,13.0,26.0,12.0,26.57499999999999,11.0,27.05000000000001,10.0,29.0,9.7375,32.52499999999998,estimate,2014-04-30,0
10,2015-03-31,18.333333333333332,18.0,5.504837236366317,17.0,18.0,17.0,18.0,17.0,19.0,17.0,19.0,16.0,20.0,16.0,20.0,16.0,20.825000000000017,15.0,21.0,15.0,21.0,15.0,22.0,14.0,23.0,14.0,23.0,14.0,23.0,13.0,24.0,12.0,24.625,11.900000000000002,25.0,11.0,26.0,10.0,27.0,9.0,31.0,8.0,32.0,estimate,2014-04-30,0
11,2015-04-30,18.546666666666667,18.0,5.6563654812148725,17.0,18.0,17.0,19.0,17.0,19.0,16.0,20.0,16.0,20.0,16.0,20.0,15.0,21.0,15.0,21.0,15.0,21.0,14.0,22.0,14.0,22.0,14.0,23.0,13.0,23.0,13.0,24.0,13.0,25.0,12.0,27.0,12.0,28.0,11.0,29.0,10.0,31.0,9.7375,33.0,estimate,2014-04-30,0
12,2015-05-31,18.23,17.0,5.693724175201812,17.0,18.0,17.0,18.0,16.075000000000003,19.0,16.0,19.0,16.0,19.0,15.0,20.0,15.0,20.0,15.0,20.299999999999983,15.0,21.0,14.0,22.0,14.0,22.724999999999994,14.0,23.200000000000017,13.0,24.0,12.850000000000001,24.150000000000006,12.0,25.0,11.0,26.0,11.0,27.0,10.0,28.05000000000001,9.0,31.049999999999955,8.0,33.26249999999999,estimate,2014-04-30,0
13,2015-06-30,18.576666666666668,18.0,5.608532876398336,18.0,18.974999999999994,18.0,19.0,17.0,19.0,17.0,19.400000000000006,17.0,20.0,16.0,20.0,16.0,21.0,16.0,21.0,15.0,21.0,14.75,22.0,14.0,22.0,14.0,23.0,13.0,23.0,13.0,24.0,12.0,25.0,12.0,26.0,11.0,26.57499999999999,10.0,28.05000000000001,9.0,30.524999999999977,8.0,34.0,estimate,2014-04-30,0
14,2015-07-31,18.4,18.0,5.557242404629543,18.0,18.0,17.0,19.0,17.0,19.0,17.0,19.0,16.0,20.0,16.0,20.0,16.0,20.0,15.0,21.0,15.0,21.0,14.0,22.0,14.0,22.0,13.0,23.0,13.0,23.674999999999983,12.0,24.0,12.0,25.0,12.0,26.0,11.0,27.0,10.950000000000001,28.0,10.0,30.0,9.0,33.0,estimate,2014-04-30,0
15,2015-08-31,18.95,18.0,5.9339311136495745,18.0,19.0,17.0,19.0,17.0,19.0,17.0,20.0,16.0,20.875,16.0,21.0,16.0,21.0,15.0,21.0,15.0,22.0,15.0,22.0,14.0,23.0,14.0,23.0,14.0,24.0,13.0,25.0,13.0,26.0,12.0,27.0,12.0,28.0,10.0,30.05000000000001,9.0,33.0,9.0,35.26249999999999,estimate,2014-04-30,0
16,2015-09-30,18.006666666666668,17.0,5.9107030255639,17.0,18.0,16.0,18.0,16.0,18.0,16.0,19.0,15.0,19.0,15.0,20.0,15.0,20.0,14.0,21.0,14.0,21.0,14.0,22.0,13.0,22.0,13.0,23.0,13.0,23.0,12.0,24.0,12.0,24.0,11.0,26.0,10.425,27.0,9.950000000000001,29.0,8.0,30.524999999999977,7.737500000000001,33.52499999999998,estimate,2014-04-30,0
17,2015-10-31,18.593333333333334,18.0,5.794815658610705,18.0,18.974999999999994,17.0,19.0,17.0,19.0,16.0,19.400000000000006,16.0,20.0,16.0,21.0,15.0,21.0,15.0,22.0,15.0,22.0,14.0,23.0,14.0,23.724999999999994,14.0,24.0,13.0,25.0,13.0,25.0,12.0,26.0,11.900000000000002,26.0,11.0,27.0,9.950000000000001,28.0,8.475000000000001,30.524999999999977,7.737500000000001,32.0,estimate,2014-04-30,0
18,2015-11-30,18.636666666666667,17.0,6.322280151173463,17.0,18.0,17.0,18.0,16.0,18.924999999999983,16.0,19.0,16.0,19.0,16.0,20.0,15.0,20.0,15.0,21.0,15.0,21.0,14.0,22.0,14.0,23.0,13.0,24.0,13.0,25.0,13.0,26.0,12.0,27.0,11.0,28.0,11.0,29.0,10.0,31.0,9.0,32.52499999999998,7.737500000000001,34.52499999999998,estimate,2014-04-30,0
19,2015-12-31,18.56,18.0,6.236133782119734,18.0,18.0,17.0,19.0,17.0,19.0,16.0,19.0,16.0,20.0,16.0,20.0,15.0,20.0,15.0,21.0,15.0,21.0,14.0,22.0,14.0,23.0,13.0,23.0,13.0,24.0,12.0,25.0,12.0,26.0,11.0,27.0,11.0,28.0,10.0,29.0,9.0,32.0,8.0,35.787499999999966,estimate,2014-04-30,0
20,2016-01-31,18.833333333333332,18.0,6.505378959515885,17.0,18.0,17.0,18.450000000000017,17.0,19.0,16.60000000000001,19.0,16.0,19.0,16.0,20.0,15.0,20.825000000000017,15.0,21.0,15.0,22.0,14.0,22.0,14.0,23.0,13.0,24.0,13.0,24.0,12.0,25.150000000000006,12.0,26.625,12.0,27.100000000000023,11.0,30.0,10.0,31.05000000000001,9.0,34.52499999999998,8.0,36.0,estimate,2014-04-30,0
21,2016-02-29,19.253333333333334,18.0,6.889657477413215,18.0,18.0,17.0,19.0,17.0,19.0,17.0,20.0,16.0,20.0,16.0,21.0,16.0,21.0,15.0,21.299999999999983,15.0,22.0,14.0,23.0,14.0,23.0,13.800000000000004,24.0,13.0,25.0,13.0,26.0,12.0,27.0,11.900000000000002,29.0,11.0,30.57499999999999,10.950000000000001,33.05000000000001,9.0,37.0,8.0,38.26249999999999,estimate,2014-04-30,0
22,2016-03-31,18.55666666666667,17.0,6.50753015497806,17.0,18.0,17.0,18.0,16.0,19.0,16.0,19.0,15.0,19.0,15.0,20.0,15.0,21.0,14.0,21.0,14.0,22.0,14.0,22.0,13.0,23.0,13.0,24.0,13.0,24.0,12.0,25.0,12.0,26.625,12.0,28.0,11.0,29.0,10.0,31.05000000000001,9.0,34.0,8.0,36.26249999999999,estimate,2014-04-30,0
23,2016-04-30,19.346666666666668,18.0,6.320838463777791,18.0,19.0,17.0,19.0,17.0,20.0,17.0,20.0,17.0,20.0,16.0,21.0,16.0,22.0,15.700000000000003,22.0,15.0,23.0,15.0,23.0,14.0,24.0,14.0,24.0,13.0,25.0,13.0,26.0,13.0,27.0,12.0,28.0,11.0,30.0,11.0,31.0,10.0,34.0,9.7375,35.26249999999999,estimate,2014-04-30,0
