date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2013-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,15.709294048789419,15.50679404878942,15.10242074153522,15.91009530897989,14.952476844713988,16.331910678426432,14.556279367489577,16.50444071126052,14.163191883655298,16.93503404477522,14.022607272222967,17.374981036265638,13.383930953720942,17.82582180069934,12.996563330233915,18.245675368844825,12.859879865930477,18.76810045291247,12.473206663596642,19.264754753800684,11.83578828930217,19.78313120025129,11.696742527655953,20.578170802573208,11.554992753253433,20.906593550345278,10.740410470787667,21.527876074492394,10.507382799885448,22.456002308978807,9.846977035952698,23.119107029287406,9.423758751764446,24.585537048035988,8.980448305326506,25.644637545987038,8.239562280425627,27.314390977031977,7.314950632909012,31.089866277371094,6.147126562722118,34.10010349449935,0.0
2014-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
