date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,17.35008021784237,17.124246884509034,16.685393798567418,17.569661682332324,16.502173177136978,18.0226789846927,16.073739795347443,18.48448467872079,15.649308894690725,18.70645206249164,14.978134922316709,19.408946776874192,14.559491055747797,19.9376499769713,14.392647950530737,20.201158247632307,13.726849843213849,20.983623547378805,13.56128547050135,21.538704647251677,13.145049980431235,21.871116077285215,12.795841594480375,22.668337643554324,12.556132108147388,23.395100647537177,12.130540811535532,23.85712798081601,11.448120640947211,25.140856715317916,11.005715570473008,26.024000783258288,10.548413261909149,27.32860316986538,9.67393366580019,29.213084129522436,9.046002314439402,31.289556242050416,8.30264369187086,35.1067176163176,7.093419106009958,38.56649311089484,0.0
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
