date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,4.893300483359747,4.62663381669308,4.590928200153309,4.663508062893635,4.556219751355589,4.701742114069869,3.772351684561468,5.241552956858361,3.739177538377326,5.533191042730932,3.706557200348934,5.576950188084308,3.6743530232366695,5.873180727501583,3.6424257316216266,5.922307439085117,3.110629751257134,6.224854610896646,3.0788074539595605,6.281482072045107,2.984281547084824,6.3430385957862665,2.7643443427591254,7.160643882486906,2.731241688756644,7.235819738443331,2.2783974031150263,7.739460729531302,2.161619813835012,8.168479057570885,2.124021828079111,8.440319482510954,1.808358339723542,8.925856022762872,1.5378960145807183,9.609756760618165,1.2340627379775018,10.122188525024233,1.0304842098098108,11.214073157936609,0.7906969981963378,12.562237985141223,0.0
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
