date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,31.21362905440359,31.231129054403596,30.104127081890834,31.624183483128462,29.741122765876742,32.28562732145417,28.89028048025693,33.21815817043746,28.549931503093614,34.174934864524985,27.468528738465757,34.65970954294801,27.057105292262133,35.42700508051071,26.576733921186893,36.482359002537336,25.763484082875827,37.33266705419363,25.20337242934511,38.23668026377875,24.14480075426409,39.45574620268778,23.83597186878513,41.00495394905863,23.02476698892523,42.40497780242555,22.458554171532388,43.93519969153021,21.38386669067495,45.63933860366239,20.545816985727853,47.336446455275635,19.66191403019542,49.9198068120056,18.79432029782203,53.18608716445371,17.34198969748961,58.322017319297444,15.507479624892197,66.61507294839893,14.329508992533524,74.99031924724252,0.0
2009-09-30,30.64612905440359,30.731129054403596,30.103614916895847,31.3684902240678,28.990138519386324,32.0367907336821,28.388860450164284,32.719984605441184,27.798108790478196,33.67748843451679,27.21633374681682,34.16306382873442,26.642066159840446,34.93124534440855,26.07387690563081,35.737585107043614,25.01033391543512,36.58899738875512,24.69995265635354,37.93800714875895,23.828634086192665,38.77724352345395,23.332080563832697,40.01558827745507,22.52067331166716,41.66752520601592,21.78553099456483,42.70002230647377,21.129438365033746,44.406929069987314,20.385010737920013,46.5137578102473,19.182262481812025,49.19541086733024,18.789616723483906,52.82428551619612,17.32480158458985,57.351366852009335,15.121700073762149,65.676572962024,13.443963687579698,74.00951068376814,0.0
2009-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
