date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,30.59122139948863,30.42205473282197,29.551631236591668,31.058067789995132,28.94479192233007,31.961949186626004,28.349743483615725,32.386327442597945,27.7648537030999,33.43427856320032,26.938607186236926,34.059454299124,26.619564741410656,34.65375437473207,25.80632347380333,35.8600631597476,25.497474355721117,36.69758292471092,24.497803140370085,37.587315834109674,23.886978645892235,38.54028251709099,23.08196889201827,39.821131647146146,22.724418667990818,41.19992610890485,22.211708042515646,42.455166910471554,21.140380631701873,44.37924298648066,20.649307049519624,46.289071728539284,19.449750782694778,48.79921421636763,18.56012058714078,51.88026362807727,17.33559159707495,56.5827051953688,15.397323324279897,65.03287709924425,13.601462877039316,72.91364312055094,0.0
2009-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
