date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-28,27.289090518939076,27.16159051893908,26.47957906230228,27.84880529946919,26.182460841120164,28.186730214951794,25.412575780983264,28.996126194011236,24.612374283041188,29.64808109265787,24.336882050433275,30.03285459944761,23.8161668051558,30.941255036909975,23.049054406788592,31.62731291596871,22.534341477435163,32.59602449193809,21.827000675320363,33.353702946337826,21.506872881986155,34.22100040150596,20.9910870126308,35.271211605355106,20.221441272788525,36.20656369206319,19.69546566773772,37.485392495683044,19.159854962964072,38.63855061310464,18.35988798067521,40.62075688894872,17.76325066882998,42.5457786463153,16.9322944405249,44.79020930158225,15.753637337967922,48.31179223264991,13.967067329028145,54.07060061945769,12.555195889611413,59.74391164686975,0.0
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
