date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,13.698258862411251,13.603258862411248,13.238334162415315,13.721969807088517,13.12664241092128,14.207584213700564,12.767677964135759,14.704552930106544,12.160968790052483,14.857435185821508,12.056063659257823,14.998430620944035,11.952519650515121,15.897421851969726,11.349889003398767,16.055782493304534,10.997704140061785,16.55020830763579,10.895459233301361,16.90783387099966,10.042585856543994,17.356405510802684,9.93841867485187,17.824546831701877,9.582144092683407,18.3171836359846,9.472718581259166,19.01000878058305,8.8212298704953,19.40701167380706,8.488141705322981,20.030457258043384,8.107774726878162,20.988723789650678,7.462092759611201,22.3333942738556,7.0271904428835485,23.68252258241574,6.058255570947378,26.055514583978166,5.381125761483871,28.293990069249944,0.0
2015-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
