,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2009,Lyme disease cummulative for 2008,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2009,Malaria cummulative for 2008,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2009","Meningococcal diseases, invasive �, all serogroups cummulative for 2008"
22,2009,1,UNITED STATES,56,440,"1,455",56,128,5,20,44,5,10,7,19,47,7,21
23,2009,1,NEW ENGLAND,1,43,260,1,23,0,0,6,0,1,0,0,3,0,1
24,2009,1,Conn.,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
25,2009,1,Maine,0,3,73,0,0,0,0,1,0,0,0,0,1,0,0
26,2009,1,Mass.,0,11,114,0,16,0,0,2,0,1,0,0,3,0,1
27,2009,1,N.H.,0,13,141,0,7,0,0,2,0,0,0,0,0,0,0
28,2009,1,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2009,1,Vt.,1,3,40,1,0,0,0,1,0,0,0,0,0,0,0
30,2009,1,MID. ATLANTIC,15,245,"1,003",15,73,0,4,14,0,4,0,2,6,0,1
31,2009,1,N.J.,0,31,211,0,27,0,0,0,0,0,0,0,2,0,1
32,2009,1,N.Y. (Upstate),2,99,497,2,4,0,0,5,0,0,0,0,3,0,0
33,2009,1,N.Y. City,0,0,4,0,2,0,3,10,0,4,0,0,2,0,0
34,2009,1,Pa.,13,84,531,13,40,0,1,3,0,0,0,1,5,0,0
35,2009,1,E.N. CENTRAL,0,11,145,0,7,1,2,7,1,2,2,3,9,2,4
36,2009,1,Ill.,0,0,11,0,0,0,1,6,0,1,0,1,5,0,3
37,2009,1,Ind.,0,0,8,0,0,0,0,2,0,0,0,0,4,0,0
38,2009,1,Mich.,0,1,10,0,1,0,0,2,0,0,0,0,3,0,1
39,2009,1,Ohio,0,1,5,0,0,1,0,3,1,1,2,1,4,2,0
40,2009,1,Wis.,0,10,129,0,6,0,0,3,0,0,0,0,2,0,0
41,2009,1,W.N. CENTRAL,0,8,156,0,0,0,1,10,0,0,0,2,8,0,1
42,2009,1,Iowa,0,1,8,0,0,0,0,3,0,0,0,0,3,0,1
43,2009,1,Kans.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
44,2009,1,Minn.,0,4,152,0,0,0,0,8,0,0,0,0,7,0,0
45,2009,1,Mo.,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0
46,2009,1,Nebr.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
47,2009,1,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,2009,1,S. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,2009,1,S. ATLANTIC,35,66,219,35,23,1,5,15,1,1,3,2,10,3,3
50,2009,1,Del.,3,12,37,3,5,0,0,1,0,0,0,0,1,0,0
51,2009,1,D.C.,0,2,11,0,0,0,0,2,0,0,0,0,0,0,0
52,2009,1,Fla.,3,2,10,3,1,0,1,7,0,0,1,1,3,1,2
53,2009,1,Ga.,0,0,3,0,0,0,1,5,0,1,0,0,2,0,0
54,2009,1,Md.,29,29,158,29,13,0,1,7,0,0,0,0,4,0,0
55,2009,1,N.C.,0,0,7,0,0,1,0,7,1,0,1,0,3,1,0
56,2009,1,S.C.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1
57,2009,1,Va.,0,13,52,0,4,0,1,3,0,0,1,0,2,1,0
58,2009,1,W. Va.,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0
59,2009,1,E.S. CENTRAL,0,0,5,0,0,0,0,2,0,0,0,1,6,0,2
60,2009,1,Ala.,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
61,2009,1,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1
62,2009,1,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
63,2009,1,Tenn.,0,0,3,0,0,0,0,2,0,0,0,0,3,0,1
64,2009,1,W.S. CENTRAL,0,2,8,0,0,0,1,11,0,0,0,2,7,0,2
65,2009,1,Ark.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
66,2009,1,La.,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1
67,2009,1,Okla.,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1
68,2009,1,Tex.,0,2,8,0,0,0,1,11,0,0,0,1,5,0,0
69,2009,1,MOUNTAIN,1,0,4,1,0,0,0,3,0,1,1,1,4,1,4
70,2009,1,Ariz.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
71,2009,1,Colo.,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
72,2009,1,Idaho,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
73,2009,1,Mont.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
74,2009,1,Nev.,0,0,2,0,0,0,0,3,0,0,1,0,1,1,1
75,2009,1,N. Mex.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
76,2009,1,Utah,1,0,1,1,0,0,0,1,0,0,0,0,1,0,3
77,2009,1,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,2009,1,PACIFIC,4,5,11,4,2,3,2,10,3,1,1,5,19,1,3
79,2009,1,Alaska,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
80,2009,1,Calif.,4,3,10,4,2,2,2,8,2,0,1,3,19,1,2
81,2009,1,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2009,1,Oreg.,0,1,4,0,0,1,0,2,1,1,0,1,3,0,1
83,2009,1,Wash.,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0
84,2009,1,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2009,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2009,1,Guam,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
87,2009,1,P.R.,N,0,0,N,N,1,0,1,1,0,0,0,1,0,0
88,2009,1,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2009,2,UNITED STATES,15,441,"1,455",74,271,4,20,44,12,27,6,18,47,19,40
23,2009,2,NEW ENGLAND,1,44,260,5,42,0,0,6,0,1,0,0,3,0,2
24,2009,2,Conn.,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
25,2009,2,Maine,0,3,73,0,0,0,0,1,0,0,0,0,1,0,0
26,2009,2,Mass.,0,10,114,0,29,0,0,2,0,1,0,0,3,0,2
27,2009,2,N.H.,0,13,141,0,13,0,0,2,0,0,0,0,0,0,0
28,2009,2,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2009,2,Vt.,1,4,40,5,0,0,0,1,0,0,0,0,0,0,0
30,2009,2,MID. ATLANTIC,4,245,"1,003",12,139,0,4,14,0,7,0,2,6,1,2
31,2009,2,N.J.,0,32,211,0,54,0,0,0,0,0,0,0,2,0,1
32,2009,2,N.Y. (Upstate),4,99,632,6,5,0,0,5,0,0,0,0,3,0,1
33,2009,2,N.Y. City,0,0,4,0,2,0,3,10,0,6,0,0,2,1,0
34,2009,2,Pa.,0,84,531,6,78,0,1,3,0,1,0,1,5,0,0
35,2009,2,E.N. CENTRAL,0,11,145,1,18,1,2,7,2,9,1,3,9,3,11
36,2009,2,Ill.,0,0,11,0,1,0,1,5,0,7,0,1,5,0,7
37,2009,2,Ind.,0,0,8,0,0,0,0,2,0,0,0,0,4,0,0
38,2009,2,Mich.,0,1,10,1,1,0,0,2,0,0,0,0,3,0,2
39,2009,2,Ohio,0,0,5,0,1,1,0,3,2,2,1,1,4,3,1
40,2009,2,Wis.,0,9,129,0,15,0,0,3,0,0,0,0,2,0,1
41,2009,2,W.N. CENTRAL,0,8,156,0,1,0,1,10,0,0,0,2,8,2,3
42,2009,2,Iowa,0,1,8,0,1,0,0,3,0,0,0,0,3,0,1
43,2009,2,Kans.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1
44,2009,2,Minn.,0,4,152,0,0,0,0,8,0,0,0,0,7,0,0
45,2009,2,Mo.,0,0,1,0,0,0,0,3,0,0,0,0,3,2,1
46,2009,2,Nebr.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
47,2009,2,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,2009,2,S. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,2009,2,S. ATLANTIC,7,66,219,46,65,0,5,15,1,5,2,3,10,5,5
50,2009,2,Del.,0,12,37,5,14,0,0,1,0,0,0,0,1,0,0
51,2009,2,D.C.,0,2,11,0,2,0,0,2,0,0,0,0,0,0,0
52,2009,2,Fla.,3,2,10,6,1,0,1,7,0,1,1,1,3,2,4
53,2009,2,Ga.,0,0,3,0,0,0,1,5,0,2,1,0,2,1,0
54,2009,2,Md.,2,30,158,33,43,0,1,7,0,2,0,0,4,0,0
55,2009,2,N.C.,0,0,7,0,0,0,0,7,1,0,0,0,3,1,0
56,2009,2,S.C.,2,0,2,2,0,0,0,1,0,0,0,0,3,0,1
57,2009,2,Va.,0,13,53,0,5,0,1,3,0,0,0,0,2,1,0
58,2009,2,W. Va.,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0
59,2009,2,E.S. CENTRAL,0,1,5,1,0,0,0,2,0,2,0,1,6,0,5
60,2009,2,Ala.,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0
61,2009,2,Ky.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,3
62,2009,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
63,2009,2,Tenn.,0,0,3,1,0,0,0,2,0,0,0,0,3,0,2
64,2009,2,W.S. CENTRAL,0,2,8,0,0,0,1,11,0,0,0,2,7,0,2
