date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,16.026666666563887,15.999999999904835,15.024999999904246,15.999999999904835,14.999999999904835,15.999999999904835,14.999999999904835,16.99999999988104,14.999999999904835,16.999999999904833,13.999999999907809,16.999999999904833,13.999999999904835,16.999999999904833,13.999999999904835,17.99999999988104,13.699999999911977,17.99999999988104,12.999999999904833,18.999999999881044,12.999999999904833,18.999999999881044,11.999999999928626,19.72499999986379,11.999999999928626,19.999999999881044,10.999999999928628,20.999999999857252,10.999999999928628,20.999999999857252,10.999999999928628,20.999999999881044,9.999999999928626,21.999999999857256,9.999999999928626,22.999999999857252,8.999999999928624,23.999999999857252,7.474999999941116,25.524999999833437,6.999999999952418,28.999999999785878
2015-01-31,16.30999999985947,15.999999999857252,15.999999999857252,15.999999999880448,14.999999999881044,16.999999999857252,14.999999999881044,16.999999999857252,14.999999999857252,16.999999999857252,13.999999999881043,17.99999999983346,13.999999999881043,17.99999999985725,13.999999999881043,17.99999999985725,12.999999999881043,18.299999999850094,12.999999999881043,18.99999999983346,12.999999999881043,19.249999999851305,11.999999999904835,19.99999999983346,11.999999999881043,19.99999999983346,11.999999999881043,20.99999999983346,10.999999999881043,21.99999999980967,10.999999999881043,21.999999999833463,10.999999999881043,22.99999999980967,9.999999999881043,23.99999999980967,8.999999999904833,24.999999999809667,8.999999999868551,25.99999999983346,6.9999999999048335,26.99999999980967
2015-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
