,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
22,2013,2,UNITED STATES,3,10,20,7,19,1,4,8,2,7,94,784,"1,269",188,864
23,2013,2,NEW ENGLAND,0,0,3,0,0,0,0,1,0,0,11,44,100,23,43
24,2013,2,Conn.,0,0,1,0,0,0,0,0,0,0,0,4,9,0,1
25,2013,2,Maine,0,0,1,0,0,0,0,0,0,0,9,13,37,12,5
26,2013,2,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,12
27,2013,2,N.H.,0,0,0,0,0,0,0,1,0,0,0,2,19,0,5
28,2013,2,R.I.,0,0,0,0,0,0,0,1,0,0,0,1,20,0,2
29,2013,2,Vt.,0,0,1,0,0,0,0,0,0,0,2,9,42,11,18
30,2013,2,MID. ATLANTIC,0,1,4,0,3,0,0,3,0,0,28,105,183,34,157
31,2013,2,N.J.,0,0,2,0,1,0,0,0,0,0,0,15,40,0,34
32,2013,2,N.Y. (Upstate),0,0,2,0,0,0,0,1,0,0,15,46,109,15,24
33,2013,2,N.Y. City,0,0,2,0,1,0,0,3,0,0,0,7,18,0,46
34,2013,2,Pa.,0,0,2,0,1,0,0,1,0,0,13,33,64,19,53
35,2013,2,E.N. CENTRAL,0,1,4,0,3,0,1,3,0,3,12,172,354,29,348
36,2013,2,Ill.,0,0,3,0,0,0,1,2,0,2,0,36,64,0,100
37,2013,2,Ind.,0,0,1,0,0,0,0,2,0,0,0,8,18,0,10
38,2013,2,Mich.,0,0,2,0,0,0,0,1,0,1,4,13,40,8,20
39,2013,2,Ohio,0,0,2,0,2,0,0,1,0,0,8,16,37,19,29
40,2013,2,Wis.,0,0,1,0,1,0,0,1,0,0,0,94,261,2,189
41,2013,2,W.N. CENTRAL,0,1,4,0,1,0,0,2,0,0,6,118,239,13,107
42,2013,2,Iowa,0,0,1,0,0,0,0,1,0,0,0,32,100,0,14
43,2013,2,Kans.,0,0,1,0,0,0,0,1,0,0,0,15,30,0,17
44,2013,2,Minn.,0,0,3,0,0,0,0,1,0,0,0,46,110,0,41
45,2013,2,Mo.,0,0,3,0,1,0,0,1,0,0,6,15,45,13,32
46,2013,2,Nebr.,0,0,1,0,0,0,0,1,0,0,0,2,19,0,1
47,2013,2,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0
48,2013,2,S. Dak.,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2
49,2013,2,S. ATLANTIC,3,1,5,4,3,1,0,3,1,0,9,52,105,12,30
50,2013,2,Del.,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1
51,2013,2,D.C.,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1
52,2013,2,Fla.,2,1,3,3,1,0,0,1,0,0,8,11,26,8,6
53,2013,2,Ga.,0,0,2,0,0,0,0,2,0,0,0,4,15,0,0
54,2013,2,Md.,0,0,1,0,2,1,0,0,1,0,1,6,18,3,12
55,2013,2,N.C.,0,0,1,0,0,0,0,1,0,0,0,7,74,0,4
56,2013,2,S.C.,0,0,1,0,0,0,0,1,0,0,0,4,14,1,1
57,2013,2,Va.,1,0,2,1,0,0,0,1,0,0,0,10,25,0,5
58,2013,2,W. Va.,0,0,2,0,0,0,0,1,0,0,0,1,12,0,0
59,2013,2,E.S. CENTRAL,0,0,2,0,0,0,0,1,1,0,2,20,48,5,21
60,2013,2,Ala.,0,0,1,0,0,0,0,1,1,0,0,4,9,2,0
61,2013,2,Ky.,0,0,1,0,0,0,0,1,0,0,0,8,35,0,14
62,2013,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,1,4,0,2
63,2013,2,Tenn.,0,0,1,0,0,0,0,1,0,0,2,5,14,3,5
64,2013,2,W.S. CENTRAL,0,1,4,0,0,0,0,2,0,0,1,47,117,1,3
65,2013,2,Ark.,0,0,1,0,0,0,0,1,0,0,0,2,22,0,0
66,2013,2,La.,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0
67,2013,2,Okla.,0,0,2,0,0,0,0,1,0,0,0,0,34,0,0
68,2013,2,Tex.,0,0,3,0,0,0,0,2,0,0,1,40,80,1,3
69,2013,2,MOUNTAIN,0,1,3,1,0,0,0,2,0,1,6,113,167,45,104
70,2013,2,Ariz.,0,0,1,0,0,0,0,2,0,0,2,15,33,7,25
71,2013,2,Colo.,0,0,2,1,0,0,0,2,0,1,0,29,66,29,23
72,2013,2,Idaho,0,0,1,0,0,0,0,0,0,0,1,3,14,4,7
73,2013,2,Mont.,0,0,1,0,0,0,0,1,0,0,3,7,48,5,5
74,2013,2,Nev.,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0
75,2013,2,N. Mex.,0,0,1,0,0,0,0,0,0,0,0,15,31,0,9
76,2013,2,Utah,0,0,1,0,0,0,0,1,0,0,0,28,52,0,35
77,2013,2,Wyo.,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0
78,2013,2,PACIFIC,0,2,9,2,9,0,1,2,0,3,19,120,301,26,51
79,2013,2,Alaska,0,0,1,0,0,0,0,1,0,0,17,4,24,24,3
80,2013,2,Calif.,0,1,6,1,7,0,0,2,0,3,0,13,27,0,24
81,2013,2,Hawaii,0,0,1,0,0,0,0,1,0,0,1,1,10,1,12
