date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2013-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,17.536666666663116,16.999999999996824,16.999999999996195,17.97499999999619,16.999999999996195,17.9999999999962,16.999999999996174,17.9999999999962,15.999999999996817,17.999999999996827,15.999999999996815,18.99999999999618,15.999999999996172,18.9999999999962,14.999999999996817,19.824999999995686,14.999999999996815,19.999999999996184,14.999999999996186,19.999999999996206,13.999999999996813,19.999999999996835,13.999999999996813,20.99999999999621,13.999999999996811,20.999999999996213,12.999999999997016,20.99999999999684,12.99999999999681,21.999999999996216,11.999999999997437,22.62499999999582,11.99999999999681,23.999999999995584,10.999999999997454,23.99999999999561,10.999999999996806,24.9999999999956,9.474999999997772,27.999999999994973,7.999999999997466,29.262499999994972
2014-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
